date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
29. July 2021,9781.00,9805.00,235175
28. July 2021,9697.00,9719.00,230225
27. July 2021,9709.00,9728.50,225225
26. July 2021,9580.00,9604.50,225225
23. July 2021,9433.50,9461.50,224750
22. July 2021,9382.50,9409.00,224250
21. July 2021,9271.50,9303.00,224400
20. July 2021,9211.00,9244.50,225650
19. July 2021,9264.50,9300.00,226300
16. July 2021,9396.50,9433.50,224175
15. July 2021,9347.00,9383.50,222625
14. July 2021,9309.00,9349.00,221800
13. July 2021,9310.00,9345.00,220575
12. July 2021,9347.00,9385.00,219175
09. July 2021,9437.50,9475.50,216800
08. July 2021,9264.50,9297.50,214575
07. July 2021,9451.50,9483.00,214575
06. July 2021,9528.00,9558.50,212325
05. July 2021,9432.00,9461.00,212475
02. July 2021,9296.50,9323.50,211950
01. July 2021,9342.00,9367.50,211975
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. June 2021,9385.00,9405.50,211525
29. June 2021,9225.50,9252.00,210350
28. June 2021,9333.50,9363.50,210925
25. June 2021,9432.50,9460.00,210975
24. June 2021,9390.50,9420.50,192975
23. June 2021,9289.50,9321.00,159800
22. June 2021,9190.50,9217.00,160950
21. June 2021,9042.50,9070.00,161050
18. June 2021,9206.00,9230.00,168675
17. June 2021,9427.50,9456.50,143750
16. June 2021,9508.00,9538.00,142625
15. June 2021,9552.50,9587.00,140625
14. June 2021,9900.00,9935.00,138300
11. June 2021,10029.00,10059.50,132450
10. June 2021,9808.50,9834.50,131775
09. June 2021,9877.00,9904.50,129675
08. June 2021,9878.50,9901.50,127200
07. June 2021,9848.00,9864.00,124700
04. June 2021,9852.00,9866.00,124700
03. June 2021,9967.00,9989.50,125450
02. June 2021,10117.50,10133.50,123350
01. June 2021,10212.50,10226.50,120700
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
28. May 2021,10159.50,10171.00,122425
27. May 2021,10032.50,10048.50,123750
26. May 2021,9965.00,9978.50,124700
25. May 2021,9943.00,9961.00,125925
24. May 2021,9868.00,9884.00,125825
21. May 2021,10011.00,10027.50,126675
20. May 2021,10086.00,10104.00,117300
19. May 2021,10114.50,10138.00,117075
18. May 2021,10465.00,10496.50,119025
17. May 2021,10257.00,10283.50,119875
14. May 2021,10212.00,10239.50,121250
13. May 2021,10253.50,10260.50,112150
12. May 2021,10537.00,10546.00,115950
11. May 2021,10528.00,10533.50,118875
10. May 2021,10724.50,10720.00,123200
07. May 2021,10361.00,10356.00,126725
06. May 2021,10025.50,10028.00,130750
05. May 2021,9991.50,9990.50,132775
04. May 2021,9961.00,9958.50,137400
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. April 2021,9949.00,9939.50,143725
29. April 2021,9990.00,9983.00,147325
28. April 2021,9832.50,9823.50,148975
27. April 2021,9898.50,9894.00,154600
26. April 2021,9758.00,9730.00,155100
23. April 2021,9545.50,9518.00,155750
22. April 2021,9475.50,9448.00,158975
21. April 2021,9382.50,9371.50,159450
20. April 2021,9396.50,9390.00,160350
19. April 2021,9415.00,9398.50,163050
16. April 2021,9336.00,9317.50,165375
15. April 2021,9187.50,9180.50,169475
14. April 2021,9011.00,9002.50,172025
13. April 2021,8904.00,8898.00,168500
12. April 2021,8901.00,8893.50,165625
09. April 2021,8993.00,8984.00,163100
08. April 2021,9001.50,8993.00,157075
07. April 2021,8981.50,8974.50,150325
06. April 2021,8984.50,8979.00,143425
01. April 2021,8768.00,8764.00,143775
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. March 2021,8850.50,8845.50,144500
30. March 2021,8788.50,8795.00,142550
29. March 2021,8942.50,8937.00,132050
26. March 2021,8929.00,8918.50,123800
25. March 2021,8781.00,8780.50,121675
24. March 2021,9016.00,9011.00,121950
23. March 2021,9016.50,9013.00,122425
22. March 2021,9097.50,9086.00,113900
19. March 2021,9036.00,9017.50,104950
18. March 2021,9090.00,9077.50,106425
17. March 2021,9027.00,9024.50,107275
16. March 2021,8965.50,8956.50,103900
15. March 2021,9147.50,9123.00,92650
12. March 2021,9052.50,9037.50,93450
11. March 2021,9062.50,9048.00,90825
10. March 2021,8939.00,8917.00,88025
09. March 2021,8895.00,8877.00,85050
08. March 2021,8992.50,8971.00,84250
05. March 2021,9021.50,8996.50,79025
04. March 2021,8786.50,8757.00,79825
03. March 2021,9266.00,9227.50,74100
02. March 2021,9213.50,9163.50,73700
01. March 2021,9198.00,9148.00,74200
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
26. February 2021,9172.50,9120.50,76225
25. February 2021,9614.50,9562.50,78575
24. February 2021,9286.00,9260.50,79700
23. February 2021,9158.00,9126.00,73450
22. February 2021,9067.50,9033.00,74900
19. February 2021,8806.50,8763.00,75700
18. February 2021,8650.00,8631.00,76025
17. February 2021,8413.50,8401.00,76175
16. February 2021,8439.50,8419.00,73725
15. February 2021,8416.50,8391.00,74250
12. February 2021,8270.50,8251.00,74700
11. February 2021,8292.00,8289.50,73500
10. February 2021,8279.50,8274.00,74675
09. February 2021,8146.50,8132.00,76050
08. February 2021,8007.00,7992.00,74575
05. February 2021,7936.50,7928.50,76550
04. February 2021,7833.50,7829.50,74500
03. February 2021,7832.50,7821.00,75000
02. February 2021,7755.50,7747.50,74225
01. February 2021,7827.00,7823.00,74275
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
29. January 2021,7877.00,7873.50,74575
28. January 2021,7778.50,7783.50,76250
27. January 2021,7895.00,7900.50,77175
26. January 2021,7957.00,7961.50,79275
25. January 2021,7984.50,7990.00,82125
22. January 2021,7872.00,7882.00,87725
21. January 2021,8051.00,8059.50,91150
20. January 2021,8014.50,8017.50,93950
19. January 2021,7986.50,7992.00,96325
18. January 2021,7972.50,7984.00,97675
15. January 2021,7979.50,7989.50,99950
14. January 2021,8002.50,8016.00,101250
13. January 2021,7960.50,7970.50,102550
12. January 2021,7983.00,7991.50,103750
11. January 2021,7951.50,7967.00,104950
08. January 2021,8146.00,8160.00,102425
07. January 2021,8036.50,8048.00,104325
06. January 2021,8129.50,8127.50,105425
05. January 2021,7914.00,7922.50,105425
04. January 2021,7918.50,7931.00,105800
