date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. December 2021,9692.00,9682.00,88950
30. December 2021,9715.00,9656.50,89375
29. December 2021,9655.00,9620.50,89100
24. December 2021,9582.00,9566.00,89275
23. December 2021,9606.00,9581.50,89125
22. December 2021,9625.00,9615.00,89400
21. December 2021,9521.00,9511.00,89925
20. December 2021,9406.00,9390.00,89000
17. December 2021,9520.00,9505.00,89150
16. December 2021,9506.00,9495.00,89475
15. December 2021,9290.00,9285.00,88650
14. December 2021,9485.00,9480.00,87375
13. December 2021,9500.00,9505.50,84450
10. December 2021,9543.00,9531.00,81775
09. December 2021,9578.00,9557.00,77925
08. December 2021,9555.50,9565.00,75175
07. December 2021,9647.00,9606.00,74225
06. December 2021,9526.00,9480.00,77875
03. December 2021,9513.00,9455.00,78350
02. December 2021,9520.00,9421.00,78225
01. December 2021,9571.00,9510.00,78625
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. November 2021,9605.00,9510.00,76450
29. November 2021,9751.00,9610.00,80075
26. November 2021,9630.00,9520.00,83800
25. November 2021,9932.00,9895.00,82600
24. November 2021,9852.00,9790.00,82225
23. November 2021,9825.50,9722.00,81600
22. November 2021,9730.00,9615.00,86525
19. November 2021,9620.50,9545.00,89875
18. November 2021,9450.00,9410.00,97600
17. November 2021,9495.00,9495.00,99450
16. November 2021,9680.00,9650.00,93925
15. November 2021,9845.00,9732.00,95700
12. November 2021,9854.50,9617.00,100300
11. November 2021,9850.00,9630.00,104175
10. November 2021,9791.00,9570.00,106125
09. November 2021,10002.00,9660.00,109550
08. November 2021,9885.00,9540.00,115525
05. November 2021,9740.00,9430.00,122600
04. November 2021,9785.00,9570.00,123400
03. November 2021,9825.00,9590.00,126475
02. November 2021,9817.00,9520.00,123925
01. November 2021,9875.00,9490.00,131300
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
29. October 2021,9955.00,9620.00,140175
28. October 2021,9860.00,9661.00,143650
27. October 2021,9849.50,9605.00,153675
26. October 2021,9988.00,9805.00,155150
25. October 2021,10050.00,9805.50,159800
22. October 2021,9992.00,9870.00,161550
21. October 2021,10051.00,9935.00,165925
20. October 2021,10161.00,9996.00,172025
19. October 2021,10652.00,10270.00,178225
18. October 2021,10500.00,10275.00,181375
15. October 2021,10555.00,10177.00,181400
14. October 2021,9971.00,9840.00,187050
13. October 2021,9661.00,9560.00,191600
12. October 2021,9585.00,9497.00,195250
11. October 2021,9527.00,9475.50,197650
08. October 2021,9246.00,9236.00,199250
07. October 2021,9177.00,9177.00,200575
06. October 2021,9096.00,9082.50,202500
05. October 2021,9091.50,9090.00,212125
04. October 2021,9267.50,9270.00,216725
01. October 2021,9113.00,9101.00,217175
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. September 2021,9041.00,9021.00,219525
29. September 2021,9227.00,9215.50,220875
28. September 2021,9263.00,9260.00,226625
27. September 2021,9341.00,9328.00,223175
24. September 2021,9275.00,9271.00,226175
23. September 2021,9252.00,9251.00,226025
22. September 2021,9255.00,9246.00,229725
21. September 2021,9106.00,9107.00,231075
20. September 2021,9145.50,9132.00,239500
17. September 2021,9435.50,9457.00,240800
16. September 2021,9392.00,9420.00,231200
15. September 2021,9488.50,9505.00,234000
14. September 2021,9407.00,9416.50,235950
13. September 2021,9627.00,9640.00,240350
10. September 2021,9515.00,9533.50,233950
09. September 2021,9356.50,9381.00,233950
08. September 2021,9256.00,9280.00,237700
07. September 2021,9325.00,9340.00,242550
06. September 2021,9401.50,9412.00,250700
03. September 2021,9361.00,9372.00,252225
02. September 2021,9347.00,9354.50,252400
01. September 2021,9312.00,9310.50,252725
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. August 2021,9462.50,9457.50,253000
27. August 2021,9352.00,9345.00,254250
26. August 2021,9323.00,9315.50,254300
25. August 2021,9378.50,9376.00,254300
24. August 2021,9316.50,9305.50,254775
23. August 2021,9237.00,9221.50,254800
20. August 2021,8922.00,8934.00,251450
19. August 2021,8775.50,8783.50,245125
18. August 2021,9148.50,9168.50,245125
17. August 2021,9346.50,9369.50,236325
16. August 2021,9377.00,9404.50,235550
13. August 2021,9429.50,9463.00,235650
12. August 2021,9508.50,9539.00,235775
11. August 2021,9421.00,9450.50,235925
10. August 2021,9409.50,9435.00,236100
09. August 2021,9311.50,9337.50,234925
06. August 2021,9529.50,9549.50,235250
05. August 2021,9429.00,9446.50,236100
04. August 2021,9503.00,9527.50,237025
03. August 2021,9583.50,9608.50,238000
02. August 2021,9737.00,9767.00,238650
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. July 2021,9747.50,9775.00,239650
