date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. December 2010,9739.50,9665.00,377550
30. December 2010,9580.00,9514.50,376000
29. December 2010,9465.00,9430.00,370950
24. December 2010,9391.00,9332.00,370725
23. December 2010,9270.00,9241.00,367725
22. December 2010,9414.50,9359.00,363950
21. December 2010,9410.00,9353.50,362725
20. December 2010,9250.00,9206.00,362575
17. December 2010,9101.50,9072.50,361400
16. December 2010,9050.00,9020.00,360800
15. December 2010,9101.00,9060.00,357950
14. December 2010,9260.00,9208.50,350900
13. December 2010,9211.00,9141.00,350450
10. December 2010,9116.00,9069.00,348625
09. December 2010,9041.50,9011.00,349450
08. December 2010,8882.00,8849.00,350250
07. December 2010,9024.00,8986.00,351375
06. December 2010,8780.00,8729.50,352375
03. December 2010,8754.00,8707.00,353625
02. December 2010,8711.50,8670.50,352425
01. December 2010,8540.00,8499.00,354850
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. November 2010,8375.00,8286.00,355750
29. November 2010,8319.50,8260.00,356550
26. November 2010,8288.00,8235.00,357000
25. November 2010,8290.00,8251.00,356550
24. November 2010,8254.50,8245.00,357125
23. November 2010,8149.00,8120.00,358050
22. November 2010,8405.50,8376.00,359000
19. November 2010,8409.00,8391.50,359825
18. November 2010,8386.00,8360.00,360600
17. November 2010,8145.00,8110.00,361125
16. November 2010,8483.50,8470.00,361975
15. November 2010,8590.00,8565.00,362700
12. November 2010,8715.00,8681.50,362775
11. November 2010,8925.00,8925.00,362950
10. November 2010,8729.00,8720.00,363950
09. November 2010,8844.50,8835.00,364875
08. November 2010,8672.00,8680.00,365200
05. November 2010,8700.00,8710.50,366350
04. November 2010,8521.50,8539.00,367325
03. November 2010,8400.50,8405.00,366075
02. November 2010,8396.00,8419.00,366950
01. November 2010,8339.00,8335.00,367575
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
29. October 2010,8225.00,8220.00,368500
28. October 2010,8332.00,8340.00,368025
27. October 2010,8332.00,8345.00,368600
26. October 2010,8466.00,8474.50,367475
25. October 2010,8501.00,8502.00,368375
22. October 2010,8309.50,8325.00,368825
21. October 2010,8406.00,8424.00,370000
20. October 2010,8250.00,8272.00,370750
19. October 2010,8295.00,8315.00,369950
18. October 2010,8340.50,8344.50,370450
15. October 2010,8362.50,8371.00,371025
14. October 2010,8412.00,8415.50,371500
13. October 2010,8400.00,8410.50,371275
12. October 2010,8266.00,8271.00,371750
11. October 2010,8335.50,8326.00,372475
08. October 2010,8104.50,8115.00,372000
07. October 2010,8262.00,8286.00,373450
06. October 2010,8215.50,8239.00,374125
05. October 2010,8125.00,8140.00,374100
04. October 2010,8085.50,8120.00,374450
01. October 2010,8115.00,8132.00,373800
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. September 2010,8053.50,8055.00,374150
29. September 2010,8016.50,8030.00,375100
28. September 2010,7866.00,7861.00,375275
27. September 2010,7922.00,7940.00,378125
24. September 2010,7911.00,7905.50,380225
23. September 2010,7876.50,7885.00,380125
22. September 2010,7705.50,7710.00,382100
21. September 2010,7695.00,7696.00,380025
20. September 2010,7735.50,7752.00,382500
17. September 2010,7756.00,7770.00,384200
16. September 2010,7670.00,7685.00,387150
15. September 2010,7595.00,7610.50,389500
14. September 2010,7517.00,7541.00,390525
13. September 2010,7630.00,7631.00,390450
10. September 2010,7525.00,7545.00,391400
09. September 2010,7532.00,7561.00,393375
08. September 2010,7620.00,7635.00,394500
07. September 2010,7520.00,7524.00,395475
06. September 2010,7660.50,7675.00,396875
03. September 2010,7631.50,7646.00,397675
02. September 2010,7625.50,7640.50,399475
01. September 2010,7540.50,7545.00,398775
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. August 2010,7355.50,7360.50,398525
27. August 2010,7287.00,7301.00,400100
26. August 2010,7195.50,7225.00,401250
25. August 2010,7067.00,7095.00,402425
24. August 2010,7171.00,7197.00,403825
23. August 2010,7250.00,7250.00,402200
20. August 2010,7205.50,7219.50,401725
19. August 2010,7442.00,7461.50,403525
18. August 2010,7353.50,7375.00,403300
17. August 2010,7315.50,7350.00,405025
16. August 2010,7205.00,7220.00,406700
13. August 2010,7200.00,7220.00,408550
12. August 2010,7180.00,7199.00,409075
11. August 2010,7204.00,7227.00,406325
10. August 2010,7225.00,7252.00,408375
09. August 2010,7425.00,7460.00,410475
06. August 2010,7420.00,7440.00,412625
05. August 2010,7395.00,7421.00,413075
04. August 2010,7370.50,7402.00,413950
03. August 2010,7360.00,7380.00,414075
02. August 2010,7336.00,7367.00,413075
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. July 2010,7195.00,7217.50,413500
29. July 2010,7206.00,7234.00,411525
28. July 2010,7120.00,7145.50,411425
27. July 2010,7091.50,7121.00,413800
26. July 2010,6995.50,7027.00,416275
23. July 2010,6995.00,7021.00,419650
22. July 2010,6920.50,6942.00,416525
21. July 2010,6771.00,6791.00,417625
20. July 2010,6526.00,6548.00,419600
19. July 2010,6514.00,6512.00,422850
16. July 2010,6650.00,6669.00,426425
15. July 2010,6656.00,6679.00,427725
14. July 2010,6694.50,6712.50,428500
13. July 2010,6596.00,6610.00,432550
12. July 2010,6630.50,6656.00,435250
09. July 2010,6680.50,6710.00,436900
08. July 2010,6641.00,6671.00,439000
07. July 2010,6545.00,6575.00,439350
06. July 2010,6523.00,6556.00,441700
05. July 2010,6440.00,6466.00,444500
02. July 2010,6430.50,6480.00,447300
01. July 2010,6354.00,6389.00,449425
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. June 2010,6515.00,6541.50,451100
29. June 2010,6585.00,6613.50,451950
28. June 2010,6800.00,6826.00,453175
25. June 2010,6604.50,6636.00,454250
24. June 2010,6525.50,6570.00,454700
23. June 2010,6576.00,6610.00,456425
22. June 2010,6460.00,6490.00,456850
21. June 2010,6607.00,6645.00,456950
18. June 2010,6315.50,6340.00,457425
17. June 2010,6480.50,6510.00,460175
16. June 2010,6592.50,6622.00,459150
15. June 2010,6625.00,6655.00,461525
14. June 2010,6610.00,6635.00,463175
11. June 2010,6462.00,6494.00,465000
10. June 2010,6292.00,6325.00,466400
09. June 2010,6295.50,6315.50,468175
08. June 2010,6091.00,6125.00,469850
07. June 2010,6157.00,6181.50,470750
04. June 2010,6450.00,6481.00,473000
03. June 2010,6620.50,6670.00,474300
02. June 2010,6605.00,6637.00,475225
01. June 2010,6715.00,6737.00,475575
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
28. May 2010,6926.00,6965.00,476725
27. May 2010,6875.50,6910.00,477775
26. May 2010,6836.00,6861.00,479050
25. May 2010,6685.00,6731.00,479325
24. May 2010,6770.50,6805.00,479575
21. May 2010,6639.00,6665.00,479825
20. May 2010,6500.00,6530.00,481300
19. May 2010,6465.50,6502.00,482225
18. May 2010,6605.50,6636.50,483150
17. May 2010,6721.00,6752.00,484175
14. May 2010,6955.50,6987.00,484075
13. May 2010,7010.50,7051.00,485150
12. May 2010,7082.00,7125.00,486375
11. May 2010,6885.00,6915.00,487450
10. May 2010,7165.50,7205.00,489300
07. May 2010,6872.00,6920.00,490875
06. May 2010,6945.00,6999.00,492700
05. May 2010,6801.00,6848.00,493275
04. May 2010,7175.50,7200.00,496975
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. April 2010,7365.00,7395.50,499300
29. April 2010,7395.00,7430.00,502550
28. April 2010,7410.50,7449.00,504025
27. April 2010,7645.00,7691.00,505350
26. April 2010,7760.00,7795.00,506125
23. April 2010,7660.00,7700.00,507150
22. April 2010,7661.00,7705.00,507125
21. April 2010,7666.00,7705.00,507800
20. April 2010,7787.00,7825.00,507525
19. April 2010,7656.00,7685.00,507875
16. April 2010,7905.50,7941.00,509400
15. April 2010,7875.00,7900.00,510425
14. April 2010,7924.50,7965.00,509650
13. April 2010,7845.00,7876.00,510625
12. April 2010,7915.00,7950.00,511075
09. April 2010,7896.00,7935.00,511925
08. April 2010,7795.50,7835.00,511250
07. April 2010,7908.00,7940.00,510650
06. April 2010,7950.50,7971.00,512575
01. April 2010,7881.00,7920.00,512450
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. March 2010,7830.00,7841.50,514325
30. March 2010,7786.00,7825.00,514900
29. March 2010,7635.00,7660.00,515525
26. March 2010,7490.50,7535.00,516925
25. March 2010,7347.00,7378.50,518825
24. March 2010,7310.50,7341.50,520450
23. March 2010,7404.50,7435.50,520675
22. March 2010,7300.50,7342.00,522075
19. March 2010,7461.00,7509.00,522975
18. March 2010,7476.00,7515.00,524175
17. March 2010,7488.00,7517.00,525575
16. March 2010,7341.50,7390.50,528050
15. March 2010,7330.00,7301.00,531200
12. March 2010,7470.00,7498.50,532575
11. March 2010,7384.50,7410.50,535650
10. March 2010,7524.00,7570.00,538175
09. March 2010,7395.00,7435.00,538875
08. March 2010,7541.50,7581.00,541575
05. March 2010,7466.50,7498.00,543150
04. March 2010,7485.50,7527.00,544225
03. March 2010,7483.50,7520.00,550575
02. March 2010,7359.00,7390.00,552325
01. March 2010,7335.00,7360.00,551250
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
26. February 2010,7072.00,7096.00,549725
25. February 2010,7046.00,7080.00,550225
24. February 2010,7032.00,7061.00,552675
23. February 2010,7227.00,7261.00,554325
22. February 2010,7338.00,7365.00,555025
19. February 2010,7193.00,7223.00,554775
18. February 2010,7086.00,7110.50,555075
17. February 2010,7119.50,7145.00,549900
16. February 2010,6940.00,6970.00,549900
15. February 2010,6841.00,6855.00,549125
12. February 2010,6766.00,6775.00,547775
11. February 2010,6672.50,6705.00,545300
10. February 2010,6610.50,6630.00,541825
09. February 2010,6485.00,6535.00,541050
08. February 2010,6329.00,6346.50,541100
05. February 2010,6242.00,6260.50,541150
04. February 2010,6571.00,6590.00,539425
03. February 2010,6853.00,6871.50,540475
02. February 2010,6865.00,6875.00,541150
01. February 2010,6675.00,6694.00,543525
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
29. January 2010,6854.00,6868.00,541050
28. January 2010,7042.00,7065.00,540175
27. January 2010,7244.00,7268.00,538600
26. January 2010,7306.00,7331.00,533575
25. January 2010,7409.00,7426.00,533400
22. January 2010,7240.00,7260.00,534200
21. January 2010,7347.00,7379.00,534650
20. January 2010,7446.00,7460.00,526650
19. January 2010,7442.00,7475.00,526750
18. January 2010,7507.00,7525.00,523450
15. January 2010,7405.50,7438.00,525475
14. January 2010,7454.00,7486.00,523975
13. January 2010,7391.00,7420.00,521775
12. January 2010,7425.00,7455.00,517175
11. January 2010,7685.00,7700.00,515200
08. January 2010,7446.00,7465.50,510625
07. January 2010,7594.00,7610.00,507475
06. January 2010,7587.50,7620.00,507400
05. January 2010,7436.00,7485.00,505350
04. January 2010,7464.00,7504.00,502400
