date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
19. October 2012,8121.00,8125.00,220900
18. October 2012,8210.00,8217.00,225150
17. October 2012,8112.50,8120.50,224450
16. October 2012,8141.50,8146.00,210725
15. October 2012,8130.00,8122.00,212275
12. October 2012,8179.00,8175.50,215900
11. October 2012,8212.00,8212.50,219550
10. October 2012,8124.50,8128.00,219425
09. October 2012,8183.00,8189.50,221050
08. October 2012,8133.00,8135.50,222500
05. October 2012,8299.00,8295.50,222675
04. October 2012,8325.00,8330.00,223400
03. October 2012,8276.00,8284.50,223450
02. October 2012,8340.00,8339.00,224150
01. October 2012,8191.50,8190.50,223500
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
28. September 2012,8267.50,8247.00,219400
27. September 2012,8175.00,8173.00,220075
26. September 2012,8130.50,8133.50,220525
25. September 2012,8235.50,8240.00,220300
24. September 2012,8155.50,8168.00,219950
21. September 2012,8282.00,8280.50,219475
20. September 2012,8202.00,8220.00,220350
19. September 2012,8323.00,8330.50,212575
18. September 2012,8224.00,8250.00,213925
17. September 2012,8293.00,8312.00,216700
14. September 2012,8400.50,8403.00,217175
13. September 2012,8055.50,8075.50,216325
12. September 2012,8100.50,8115.50,215775
11. September 2012,8080.00,8080.00,214600
10. September 2012,8032.00,8050.50,214650
07. September 2012,7844.00,7855.50,215950
06. September 2012,7670.50,7680.50,213225
05. September 2012,7606.50,7615.50,215050
04. September 2012,7640.50,7650.00,218800
03. September 2012,7649.50,7658.00,225275
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. August 2012,7576.50,7591.00,229900
30. August 2012,7611.00,7625.00,230175
29. August 2012,7524.50,7541.00,234025
28. August 2012,7606.00,7616.00,234200
24. August 2012,7600.50,7617.00,235550
23. August 2012,7667.50,7676.00,237150
22. August 2012,7571.50,7577.00,234175
21. August 2012,7510.00,7524.50,234500
20. August 2012,7433.00,7442.00,234150
17. August 2012,7496.00,7508.00,234550
16. August 2012,7386.00,7397.00,235250
15. August 2012,7386.00,7391.00,236375
14. August 2012,7407.00,7420.00,237500
13. August 2012,7426.50,7445.00,239175
10. August 2012,7430.50,7439.50,241250
09. August 2012,7495.50,7510.00,243600
08. August 2012,7525.50,7525.50,245600
07. August 2012,7567.00,7561.00,245050
06. August 2012,7400.00,7411.00,245950
03. August 2012,7327.00,7328.00,244725
02. August 2012,7386.50,7395.00,246800
01. August 2012,7500.00,7505.00,248625
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. July 2012,7581.00,7586.00,248825
30. July 2012,7520.00,7530.00,249075
27. July 2012,7555.00,7560.50,250300
26. July 2012,7510.50,7512.00,249900
25. July 2012,7441.00,7441.00,251425
24. July 2012,7396.00,7405.00,251450
23. July 2012,7387.00,7389.50,252550
20. July 2012,7625.00,7638.00,253225
19. July 2012,7765.00,7761.50,252550
18. July 2012,7596.00,7595.50,253575
17. July 2012,7671.00,7680.00,252900
16. July 2012,7636.00,7640.50,251625
13. July 2012,7689.50,7674.50,251675
12. July 2012,7510.00,7485.50,251375
11. July 2012,7525.50,7520.50,252350
10. July 2012,7556.00,7555.00,253275
09. July 2012,7520.50,7527.00,253350
06. July 2012,7600.00,7618.00,254450
05. July 2012,7761.50,7767.00,252725
04. July 2012,7695.50,7706.00,253525
03. July 2012,7777.00,7776.00,255175
02. July 2012,7647.50,7637.00,256300
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
29. June 2012,7604.50,7585.50,257150
28. June 2012,7421.00,7410.00,256100
27. June 2012,7354.00,7336.00,254875
26. June 2012,7347.00,7350.00,253250
25. June 2012,7342.50,7335.00,253200
22. June 2012,7320.00,7281.50,252975
21. June 2012,7426.00,7430.00,252150
20. June 2012,7555.50,7565.50,250350
19. June 2012,7505.50,7510.50,251675
18. June 2012,7475.50,7481.50,249125
15. June 2012,7521.00,7515.50,249450
14. June 2012,7376.50,7400.00,245075
13. June 2012,7397.50,7416.00,243425
12. June 2012,7384.00,7395.50,239550
11. June 2012,7396.00,7405.50,235200
08. June 2012,7251.50,7270.00,229675
07. June 2012,7480.50,7481.00,229300
06. June 2012,7459.50,7450.00,231200
01. June 2012,7364.00,7365.50,230875
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. May 2012,7517.00,7499.00,230675
30. May 2012,7545.00,7546.00,227100
29. May 2012,7685.50,7676.50,225800
28. May 2012,7740.00,7719.00,223050
25. May 2012,7695.50,7655.00,223500
24. May 2012,7660.50,7615.00,224075
23. May 2012,7630.50,7590.50,225700
22. May 2012,7775.00,7742.00,223975
21. May 2012,7800.50,7746.00,224375
18. May 2012,7795.50,7745.50,221175
17. May 2012,7708.00,7680.00,217450
16. May 2012,7710.00,7665.00,215350
15. May 2012,7854.00,7829.00,216350
14. May 2012,7980.00,7851.00,218300
11. May 2012,8080.00,7995.00,221275
10. May 2012,8195.50,8053.00,219850
09. May 2012,8089.00,7975.00,220925
08. May 2012,8234.00,8133.00,228450
04. May 2012,8296.00,8225.50,230625
03. May 2012,8318.00,8256.00,235200
02. May 2012,8401.00,8329.00,238950
01. May 2012,8528.00,8391.00,241550
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. April 2012,8529.50,8377.00,248350
27. April 2012,8443.50,8323.00,251825
26. April 2012,8356.00,8260.00,255350
25. April 2012,8285.50,8205.00,256400
24. April 2012,8194.00,8095.00,256875
23. April 2012,8125.00,8050.00,258850
20. April 2012,8120.50,8083.00,261150
19. April 2012,8045.50,8005.00,262700
18. April 2012,8085.00,8040.00,261150
17. April 2012,8100.50,8016.00,261075
16. April 2012,8054.00,7991.50,261700
13. April 2012,8165.50,8125.00,264400
12. April 2012,8185.00,8140.00,266075
11. April 2012,8115.00,8100.00,267150
10. April 2012,8256.00,8227.00,268400
05. April 2012,8365.50,8341.00,264775
04. April 2012,8451.50,8449.00,259675
03. April 2012,8575.50,8566.50,260650
02. April 2012,8480.00,8466.00,257550
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. March 2012,8480.00,8441.50,256275
29. March 2012,8360.00,8335.00,255625
28. March 2012,8480.50,8430.00,256150
27. March 2012,8512.00,8490.50,257575
26. March 2012,8485.00,8450.00,254000
23. March 2012,8400.50,8379.00,255175
22. March 2012,8320.00,8290.00,255450
21. March 2012,8470.50,8443.00,258325
20. March 2012,8437.00,8409.00,260825
19. March 2012,8575.00,8546.00,262575
16. March 2012,8620.50,8595.00,263825
15. March 2012,8490.50,8480.00,267750
14. March 2012,8468.00,8461.50,270625
13. March 2012,8530.00,8530.00,273000
12. March 2012,8401.50,8402.00,273925
09. March 2012,8390.50,8395.00,276025
08. March 2012,8390.00,8390.00,280025
07. March 2012,8261.00,8260.50,280900
06. March 2012,8335.50,8343.00,283575
05. March 2012,8502.00,8505.50,285825
02. March 2012,8575.00,8584.00,289000
01. March 2012,8570.00,8568.50,292250
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
29. February 2012,8585.00,8590.50,296425
28. February 2012,8658.00,8647.00,298850
27. February 2012,8436.00,8427.00,300475
24. February 2012,8441.00,8445.00,303500
23. February 2012,8408.00,8406.50,304875
22. February 2012,8391.00,8410.00,305725
21. February 2012,8325.00,8329.00,305425
20. February 2012,8234.00,8236.00,305875
17. February 2012,8370.00,8385.00,306375
16. February 2012,8209.50,8220.00,311125
15. February 2012,8395.50,8416.00,313050
14. February 2012,8405.00,8425.00,313800
13. February 2012,8512.00,8530.00,313500
10. February 2012,8591.00,8606.00,312750
09. February 2012,8520.50,8546.00,313600
08. February 2012,8586.00,8607.00,316350
07. February 2012,8335.50,8362.00,320000
06. February 2012,8463.00,8491.00,323150
03. February 2012,8320.00,8345.00,326100
02. February 2012,8339.00,8355.00,328675
01. February 2012,8351.50,8395.00,329300
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. January 2012,8485.50,8495.50,330825
30. January 2012,8399.00,8409.00,333125
27. January 2012,8610.00,8622.50,335425
26. January 2012,8560.00,8570.00,337875
25. January 2012,8271.00,8295.00,339750
24. January 2012,8267.00,8282.50,342250
23. January 2012,8333.00,8349.00,345775
20. January 2012,8230.50,8255.50,348750
19. January 2012,8350.50,8370.00,351200
18. January 2012,8156.00,8171.50,352500
17. January 2012,8185.00,8203.00,353425
16. January 2012,8021.00,8025.50,354575
13. January 2012,7965.50,7980.00,356825
12. January 2012,7946.00,7961.00,358250
11. January 2012,7689.50,7700.50,364250
10. January 2012,7641.00,7652.00,365375
09. January 2012,7503.00,7508.00,366900
06. January 2012,7515.00,7540.00,368125
05. January 2012,7471.00,7485.50,368400
04. January 2012,7652.00,7665.50,369150
03. January 2012,7661.00,7680.00,371575
