date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. December 2012,7915.00,7930.00,320050
28. December 2012,7870.00,7875.00,318050
27. December 2012,7871.50,7900.00,318000
24. December 2012,7780.00,7801.50,317350
21. December 2012,7768.50,7792.00,312400
20. December 2012,7825.50,7852.00,311925
19. December 2012,7946.00,7987.00,304900
18. December 2012,8005.50,8038.00,300500
17. December 2012,8001.00,8025.50,298625
14. December 2012,8047.50,8065.50,272800
13. December 2012,8000.50,8030.50,269875
12. December 2012,8102.00,8130.50,269200
11. December 2012,8070.00,8100.50,261725
10. December 2012,8111.50,8138.50,259050
07. December 2012,7965.50,7991.50,255200
06. December 2012,8020.50,8047.00,253575
05. December 2012,8022.00,8055.00,249025
04. December 2012,7991.00,8010.50,249375
03. December 2012,7975.50,8015.00,251050
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. November 2012,7949.00,7955.00,248150
29. November 2012,7850.00,7867.00,249125
28. November 2012,7720.00,7744.00,249975
27. November 2012,7796.00,7805.50,249550
26. November 2012,7770.50,7790.00,249825
23. November 2012,7676.00,7693.00,249825
22. November 2012,7716.00,7736.00,251100
21. November 2012,7705.00,7725.00,253875
20. November 2012,7731.00,7751.00,253700
19. November 2012,7670.50,7693.50,254050
16. November 2012,7573.00,7583.50,255175
15. November 2012,7605.50,7616.00,253475
14. November 2012,7635.00,7643.00,254175
13. November 2012,7606.50,7614.00,254350
12. November 2012,7626.50,7640.00,245500
09. November 2012,7540.50,7536.50,246275
08. November 2012,7605.50,7609.00,244850
07. November 2012,7654.50,7662.00,245575
06. November 2012,7661.00,7671.00,247400
05. November 2012,7604.00,7607.00,241325
02. November 2012,7765.50,7785.00,242975
01. November 2012,7811.00,7815.50,239600
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. October 2012,7819.00,7824.00,239775
30. October 2012,7760.00,7760.00,240525
29. October 2012,7720.00,7711.00,240450
26. October 2012,7765.00,7770.00,219800
25. October 2012,7852.00,7847.00,218700
24. October 2012,7860.50,7859.50,222350
23. October 2012,7861.00,7860.00,222600
22. October 2012,7983.50,7990.50,222425
