date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
20. March 2025,9911.50,9951.00,223275
19. March 2025,9914.00,9955.00,225175
18. March 2025,9834.00,9888.00,227700
17. March 2025,9748.00,9820.00,230975
14. March 2025,9759.00,9810.00,233750
13. March 2025,9702.50,9734.00,237200
12. March 2025,9766.00,9785.00,240325
11. March 2025,9628.00,9631.00,244175
10. March 2025,9547.00,9560.00,253325
07. March 2025,9664.00,9660.00,257325
06. March 2025,9654.00,9647.00,259175
05. March 2025,9541.00,9550.00,260150
04. March 2025,9395.00,9402.50,261000
03. March 2025,9360.50,9389.00,261050
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
28. February 2025,9363.50,9377.00,262075
27. February 2025,9415.50,9415.50,263650
26. February 2025,9504.00,9508.00,265025
25. February 2025,9463.00,9470.00,266700
24. February 2025,9490.00,9510.50,267225
21. February 2025,9494.00,9531.50,267750
20. February 2025,9514.50,9545.00,268750
19. February 2025,9433.00,9490.00,270900
18. February 2025,9295.00,9376.50,263775
17. February 2025,9291.00,9415.00,253975
14. February 2025,9812.00,9665.00,255225
13. February 2025,9362.00,9457.00,237925
12. February 2025,9277.50,9399.00,241650
11. February 2025,9245.00,9355.00,243300
10. February 2025,9287.50,9410.00,245825
07. February 2025,9288.00,9412.00,247625
06. February 2025,9165.00,9285.50,249275
05. February 2025,9025.00,9159.00,252325
04. February 2025,8993.00,9107.00,254950
03. February 2025,8866.50,8986.00,255125
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. January 2025,8949.50,9052.00,256225
30. January 2025,8975.00,9100.00,256275
29. January 2025,8881.00,9007.00,256300
28. January 2025,8890.50,9015.00,256500
27. January 2025,9051.00,9185.00,255825
24. January 2025,9218.00,9334.00,257625
23. January 2025,9056.00,9179.00,259050
22. January 2025,9123.00,9244.00,260400
21. January 2025,9067.00,9184.00,260525
20. January 2025,9043.50,9160.00,260150
17. January 2025,9132.00,9243.50,260075
16. January 2025,9135.00,9245.00,260250
15. January 2025,9020.00,9140.00,260750
14. January 2025,9016.00,9134.00,261900
13. January 2025,8980.00,9105.00,263450
10. January 2025,8995.50,9095.00,264425
09. January 2025,8960.50,9070.00,263950
08. January 2025,8847.00,8965.00,265700
07. January 2025,8886.00,9004.00,267150
06. January 2025,8893.50,9000.50,268650
03. January 2025,8701.00,8811.50,269800
02. January 2025,8685.50,8795.00,271350
