date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
29. December 2023,8476.00,8580.00,167300
28. December 2023,8530.00,8630.00,166775
27. December 2023,8511.50,8615.00,165050
22. December 2023,8499.00,8594.00,166675
21. December 2023,8460.00,8550.00,165450
20. December 2023,8466.50,8568.00,166675
19. December 2023,8439.00,8526.00,168650
18. December 2023,8423.00,8517.00,172450
15. December 2023,8471.00,8563.00,175550
14. December 2023,8461.50,8555.00,178075
13. December 2023,8205.00,8302.00,179550
12. December 2023,8272.00,8362.00,180175
11. December 2023,8275.50,8362.00,182200
08. December 2023,8348.00,8427.00,181600
07. December 2023,8221.00,8305.00,182750
06. December 2023,8297.00,8384.00,182075
05. December 2023,8259.00,8348.50,180550
04. December 2023,8417.00,8485.00,174900
01. December 2023,8456.00,8535.00,174250
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. November 2023,8332.00,8420.00,175250
29. November 2023,8384.00,8473.00,174950
28. November 2023,8278.00,8384.00,176400
27. November 2023,8281.00,8389.00,177800
24. November 2023,8300.00,8403.00,178525
23. November 2023,8307.50,8410.00,178500
22. November 2023,8296.00,8397.00,179050
21. November 2023,8324.00,8422.00,179025
20. November 2023,8247.00,8345.00,179975
17. November 2023,8141.00,8243.00,181275
16. November 2023,8165.50,8264.50,181950
15. November 2023,8169.00,8266.00,184250
14. November 2023,8081.00,8175.00,179325
13. November 2023,8014.50,8096.00,179925
10. November 2023,8006.00,8086.00,180000
09. November 2023,8030.50,8110.00,177225
08. November 2023,8088.00,8171.00,178125
07. November 2023,8068.00,8152.00,178750
06. November 2023,8136.50,8218.00,180250
03. November 2023,8070.50,8162.00,180600
02. November 2023,8066.00,8145.00,170825
01. November 2023,8041.00,8126.00,174400
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. October 2023,8038.00,8120.00,176475
30. October 2023,8110.00,8186.00,178400
27. October 2023,7963.50,8040.00,180600
26. October 2023,7939.00,8013.00,182900
25. October 2023,7946.00,8020.00,185175
24. October 2023,7900.50,7971.00,187475
23. October 2023,7824.50,7898.00,190450
20. October 2023,7876.00,7945.00,191925
19. October 2023,7938.00,8005.00,191850
18. October 2023,7947.50,8023.00,191675
17. October 2023,7846.50,7920.00,180675
16. October 2023,7920.00,7993.50,181000
13. October 2023,7891.00,7980.00,180900
12. October 2023,7995.00,8070.00,181150
11. October 2023,7943.50,8030.00,179675
10. October 2023,7907.50,7983.00,171525
09. October 2023,8015.50,8090.00,170475
06. October 2023,7887.00,7968.50,170175
05. October 2023,7812.50,7890.00,169900
04. October 2023,7910.50,7986.50,168425
