date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. December 2013,7394.50,7371.00,365700
30. December 2013,7387.00,7380.00,367450
27. December 2013,7375.00,7365.50,370950
24. December 2013,7280.00,7272.00,371975
23. December 2013,7251.00,7238.50,379100
20. December 2013,7264.50,7245.00,382550
19. December 2013,7218.50,7217.00,383925
18. December 2013,7230.00,7227.00,384950
17. December 2013,7286.00,7272.00,386550
16. December 2013,7325.50,7310.00,389175
13. December 2013,7218.50,7219.00,393000
12. December 2013,7230.00,7214.50,396075
11. December 2013,7169.50,7162.00,399875
10. December 2013,7165.50,7161.00,402050
09. December 2013,7141.00,7145.00,405275
06. December 2013,7113.00,7112.00,408100
05. December 2013,7081.00,7086.00,411400
04. December 2013,6975.00,6975.00,415425
03. December 2013,6945.00,6948.50,418750
02. December 2013,7008.50,7014.00,420400
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
29. November 2013,7027.00,7030.00,423825
28. November 2013,6988.00,6996.00,429200
27. November 2013,7051.50,7070.00,431900
26. November 2013,7071.00,7075.00,434850
25. November 2013,7067.50,7070.00,437500
22. November 2013,7065.50,7065.00,439100
21. November 2013,6992.00,6994.00,442125
20. November 2013,6980.00,6985.00,445700
19. November 2013,6947.00,6957.00,447650
18. November 2013,6999.50,6996.00,448950
15. November 2013,6967.50,6975.50,451650
14. November 2013,6939.00,6949.00,455725
13. November 2013,7021.50,7030.00,457475
12. November 2013,7124.00,7128.50,459425
11. November 2013,7135.00,7131.00,462875
08. November 2013,7125.50,7127.00,465650
07. November 2013,7119.00,7118.00,467025
06. November 2013,7200.00,7198.00,468925
05. November 2013,7138.50,7155.00,469975
04. November 2013,7180.00,7190.50,474675
01. November 2013,7255.50,7264.00,476400
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. October 2013,7234.00,7241.00,476150
30. October 2013,7275.50,7278.00,476025
29. October 2013,7215.50,7224.00,476675
28. October 2013,7161.00,7177.00,478200
25. October 2013,7126.00,7134.50,480875
24. October 2013,7160.00,7171.00,485050
23. October 2013,7200.50,7215.50,489400
22. October 2013,7260.00,7274.00,492350
21. October 2013,7225.50,7250.00,494850
18. October 2013,7241.50,7270.00,497500
17. October 2013,7172.00,7205.00,500325
16. October 2013,7158.50,7182.00,502750
15. October 2013,7186.00,7215.50,503425
14. October 2013,7205.50,7225.50,508575
11. October 2013,7125.00,7156.50,509325
10. October 2013,7112.50,7142.00,512450
09. October 2013,7141.00,7178.50,515575
08. October 2013,7231.50,7268.00,517100
07. October 2013,7171.00,7204.50,523425
04. October 2013,7148.00,7182.00,525925
03. October 2013,7215.50,7245.50,529950
02. October 2013,7156.00,7182.00,531875
01. October 2013,7219.00,7236.00,533325
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. September 2013,7290.50,7296.00,538025
27. September 2013,7252.50,7275.50,541125
26. September 2013,7220.50,7245.00,545625
25. September 2013,7155.00,7190.00,547550
24. September 2013,7140.50,7173.00,551050
23. September 2013,7181.00,7215.50,556875
20. September 2013,7295.00,7329.50,562250
19. September 2013,7301.50,7330.50,568575
18. September 2013,7090.50,7118.00,571950
17. September 2013,7056.50,7087.00,574600
16. September 2013,7050.00,7085.00,574675
13. September 2013,7028.50,7060.00,577525
12. September 2013,7043.50,7076.50,579750
11. September 2013,7163.00,7192.00,585275
10. September 2013,7172.00,7207.00,588475
09. September 2013,7191.50,7226.00,594625
06. September 2013,7170.50,7200.00,600275
05. September 2013,7103.00,7132.00,603275
04. September 2013,7125.50,7160.00,603900
03. September 2013,7183.50,7215.00,602850
02. September 2013,7175.50,7200.00,589750
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. August 2013,7095.00,7122.50,588000
29. August 2013,7210.50,7241.00,577675
28. August 2013,7236.00,7277.00,574825
27. August 2013,7300.50,7317.00,576350
23. August 2013,7300.50,7331.50,564225
22. August 2013,7340.50,7368.00,565500
21. August 2013,7236.00,7271.00,566925
20. August 2013,7265.50,7300.00,572525
19. August 2013,7285.50,7305.50,577450
16. August 2013,7335.50,7374.50,584075
15. August 2013,7228.00,7248.00,584200
14. August 2013,7272.50,7300.00,588450
13. August 2013,7281.00,7317.00,589725
12. August 2013,7246.00,7275.00,592950
09. August 2013,7186.00,7211.00,594500
08. August 2013,7121.50,7157.50,597575
07. August 2013,6892.00,6920.00,601600
06. August 2013,7026.50,7045.00,605125
05. August 2013,6950.50,6966.00,606900
02. August 2013,7019.00,7031.00,608675
01. August 2013,6999.00,7010.00,610725
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. July 2013,6805.00,6810.00,612800
30. July 2013,6752.00,6775.00,613550
29. July 2013,6860.50,6883.00,618775
26. July 2013,6905.50,6925.00,621175
25. July 2013,6927.50,6950.00,622950
24. July 2013,7076.50,7098.00,627675
23. July 2013,6961.00,6990.50,632050
22. July 2013,6980.00,6990.50,634650
19. July 2013,6920.00,6925.00,638325
18. July 2013,6855.50,6887.00,640600
17. July 2013,6924.00,6940.00,641225
16. July 2013,6936.50,6965.00,641825
15. July 2013,6891.50,6920.00,637850
12. July 2013,6923.00,6940.50,640775
11. July 2013,6995.50,7020.00,645175
10. July 2013,6780.00,6785.00,646000
09. July 2013,6719.00,6728.00,650125
08. July 2013,6765.00,6779.00,656600
05. July 2013,6821.00,6842.50,660000
04. July 2013,6920.50,6926.00,663175
03. July 2013,6922.00,6920.50,660725
02. July 2013,6980.00,6950.00,659200
01. July 2013,6917.00,6919.00,662275
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
28. June 2013,6750.50,6775.50,665775
27. June 2013,6705.50,6732.00,667425
26. June 2013,6685.50,6715.50,671100
25. June 2013,6726.50,6765.50,674850
24. June 2013,6637.50,6676.00,678225
21. June 2013,6777.00,6806.00,664850
20. June 2013,6808.00,6835.50,643125
19. June 2013,6972.50,7005.00,638325
18. June 2013,6970.50,7010.50,632150
17. June 2013,7020.50,7067.00,629475
14. June 2013,7045.00,7085.50,618075
13. June 2013,7057.50,7093.50,608300
12. June 2013,7086.00,7121.00,609550
11. June 2013,7036.00,7070.50,609250
10. June 2013,7120.00,7155.00,609000
07. June 2013,7282.00,7316.00,609875
06. June 2013,7311.00,7346.50,610375
05. June 2013,7421.50,7460.50,612300
04. June 2013,7337.50,7370.50,614075
03. June 2013,7330.50,7365.50,617225
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. May 2013,7241.00,7270.50,608450
30. May 2013,7245.50,7285.50,611125
29. May 2013,7201.50,7235.50,613725
28. May 2013,7257.00,7299.50,619650
24. May 2013,7240.00,7277.00,621175
23. May 2013,7285.50,7320.00,623875
22. May 2013,7480.00,7510.00,627275
21. May 2013,7384.00,7410.00,624525
20. May 2013,7276.00,7297.00,628025
17. May 2013,7329.50,7350.00,629950
16. May 2013,7095.50,7125.50,624400
15. May 2013,7095.50,7145.00,627525
14. May 2013,7195.50,7225.50,618700
13. May 2013,7350.50,7380.00,606700
10. May 2013,7390.50,7377.00,604250
09. May 2013,7311.00,7336.00,605750
08. May 2013,7326.00,7355.00,605825
07. May 2013,7240.50,7270.50,604600
03. May 2013,7122.00,7151.00,608700
02. May 2013,6870.50,6900.00,616125
01. May 2013,6875.00,6906.50,618175
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. April 2013,7073.50,7105.50,618600
29. April 2013,7079.00,7117.00,617650
26. April 2013,7054.50,7100.00,619600
25. April 2013,7035.00,7055.50,618475
24. April 2013,6935.50,6974.00,620375
