date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
01. February 2011,9840.50,9810.00,393925
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. January 2011,9720.00,9680.00,394025
28. January 2011,9590.00,9585.00,398075
27. January 2011,9490.00,9471.00,397275
26. January 2011,9376.00,9370.00,394700
25. January 2011,9330.00,9316.50,389075
24. January 2011,9509.00,9480.00,381500
21. January 2011,9485.00,9455.00,381300
20. January 2011,9485.00,9465.00,380525
19. January 2011,9788.00,9756.00,381750
18. January 2011,9740.00,9715.00,377925
17. January 2011,9690.00,9651.50,379000
14. January 2011,9591.00,9572.00,376225
13. January 2011,9622.00,9620.00,377350
12. January 2011,9625.00,9618.00,378175
11. January 2011,9484.00,9472.00,379650
10. January 2011,9384.00,9360.50,378300
07. January 2011,9399.00,9390.00,379525
06. January 2011,9591.00,9572.00,379400
05. January 2011,9461.00,9434.50,379250
04. January 2011,9754.00,9715.50,377675
