date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. December 2011,7554.00,7570.00,370900
29. December 2011,7372.00,7386.00,370400
28. December 2011,7502.00,7532.00,371625
23. December 2011,7590.00,7615.00,372300
22. December 2011,7492.50,7520.00,371950
21. December 2011,7415.50,7427.00,371300
20. December 2011,7275.00,7302.50,370850
19. December 2011,7286.50,7302.00,373950
16. December 2011,7340.00,7360.00,381250
15. December 2011,7264.00,7290.00,382075
14. December 2011,7350.00,7372.00,382150
13. December 2011,7586.00,7619.00,383025
12. December 2011,7611.50,7644.50,385575
09. December 2011,7800.50,7826.00,386075
08. December 2011,7800.50,7825.00,387400
07. December 2011,7809.00,7835.50,389450
06. December 2011,7766.00,7795.00,390100
05. December 2011,7845.00,7875.00,389500
02. December 2011,7890.00,7920.00,388150
01. December 2011,7801.00,7826.00,386700
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. November 2011,7405.50,7430.00,386625
29. November 2011,7448.00,7471.00,390525
28. November 2011,7381.00,7401.00,392775
25. November 2011,7196.50,7230.00,394725
24. November 2011,7271.50,7296.00,395975
23. November 2011,7176.00,7195.00,397525
22. November 2011,7398.00,7422.00,397075
21. November 2011,7301.00,7335.50,395975
18. November 2011,7582.50,7610.00,398250
17. November 2011,7501.50,7525.50,399625
16. November 2011,7592.00,7620.00,400925
15. November 2011,7632.00,7685.00,403300
14. November 2011,7731.50,7741.50,405400
11. November 2011,7451.00,7480.00,407700
10. November 2011,7456.00,7471.00,410025
09. November 2011,7672.00,7695.00,412150
08. November 2011,7820.50,7836.00,412325
07. November 2011,7775.50,7805.00,415325
04. November 2011,7930.00,7945.00,417850
03. November 2011,7845.00,7865.00,422125
02. November 2011,7912.00,7926.00,423275
01. November 2011,7660.00,7651.00,424750
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. October 2011,7900.50,7922.00,429375
28. October 2011,7981.50,8000.50,432375
27. October 2011,8040.00,8040.00,434675
26. October 2011,7720.50,7735.00,437425
25. October 2011,7590.50,7602.00,439150
24. October 2011,7380.50,7381.00,444275
21. October 2011,7062.00,7085.00,447800
20. October 2011,6916.50,6930.00,450850
19. October 2011,7305.50,7328.00,452175
18. October 2011,7271.00,7294.50,451925
17. October 2011,7566.00,7570.00,451650
14. October 2011,7500.50,7520.00,450200
13. October 2011,7328.00,7348.00,453100
12. October 2011,7419.00,7438.00,457000
11. October 2011,7215.50,7240.50,458525
10. October 2011,7314.00,7346.50,462525
07. October 2011,7250.00,7278.00,467100
06. October 2011,7095.50,7121.00,471725
05. October 2011,6860.50,6881.00,474925
04. October 2011,6785.00,6812.00,475025
03. October 2011,6795.00,6820.00,474950
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. September 2011,7131.50,7160.00,473700
29. September 2011,6975.50,6996.00,470700
28. September 2011,7416.00,7450.00,466675
27. September 2011,7528.00,7540.00,467400
26. September 2011,7226.00,7240.50,463575
23. September 2011,7290.00,7261.00,464550
22. September 2011,7790.50,7806.00,466075
21. September 2011,8221.00,8254.50,466950
20. September 2011,8397.50,8421.00,466925
19. September 2011,8415.00,8436.00,469125
16. September 2011,8781.50,8812.00,466025
15. September 2011,8709.50,8725.50,466150
14. September 2011,8719.50,8731.00,466775
13. September 2011,8757.50,8795.00,466000
12. September 2011,8645.50,8670.00,465125
09. September 2011,8904.50,8922.00,465225
08. September 2011,9041.00,9061.50,465275
07. September 2011,8970.50,8991.00,465250
06. September 2011,8919.50,8945.00,465375
05. September 2011,8935.00,8962.00,465600
02. September 2011,9050.50,9073.00,466075
01. September 2011,9101.00,9131.00,464625
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. August 2011,9197.00,9219.00,463825
30. August 2011,9128.00,9138.00,464375
26. August 2011,9090.50,9119.00,464925
25. August 2011,8907.50,8925.00,463300
24. August 2011,8832.00,8855.00,463775
23. August 2011,8858.50,8876.00,465025
22. August 2011,8811.50,8831.00,466300
19. August 2011,8781.50,8806.00,463475
18. August 2011,8803.00,8830.00,462975
17. August 2011,8870.00,8896.00,464625
16. August 2011,8760.00,8780.00,465275
15. August 2011,8824.00,8844.00,460600
12. August 2011,8851.00,8875.50,461775
11. August 2011,8802.00,8820.00,463150
10. August 2011,8853.50,8865.00,464025
09. August 2011,8851.00,8869.00,464700
08. August 2011,9039.00,9070.00,465300
05. August 2011,9190.00,9202.00,465125
04. August 2011,9452.00,9475.50,465325
03. August 2011,9549.50,9575.00,465850
02. August 2011,9630.00,9645.00,465625
01. August 2011,9827.00,9847.00,466025
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
29. July 2011,9731.00,9750.00,466550
28. July 2011,9744.00,9770.00,468350
27. July 2011,9736.00,9761.00,469800
26. July 2011,9778.00,9805.00,469100
25. July 2011,9620.00,9644.00,471200
22. July 2011,9698.00,9719.00,472325
21. July 2011,9607.00,9631.00,474050
20. July 2011,9765.50,9789.00,467700
19. July 2011,9755.00,9779.50,467400
18. July 2011,9690.00,9694.50,462950
15. July 2011,9606.00,9628.00,462025
14. July 2011,9655.00,9670.50,462025
13. July 2011,9658.50,9685.50,461975
12. July 2011,9500.50,9520.00,461625
11. July 2011,9556.00,9580.00,461625
08. July 2011,9713.00,9738.00,461850
07. July 2011,9537.00,9555.00,461950
06. July 2011,9432.00,9460.00,461275
05. July 2011,9405.50,9415.00,462500
04. July 2011,9411.00,9435.00,462725
01. July 2011,9405.00,9415.50,463450
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. June 2011,9301.00,9315.00,465250
29. June 2011,9176.00,9195.00,467025
28. June 2011,8995.50,9020.00,468375
27. June 2011,9000.50,9001.00,470525
24. June 2011,9045.00,9055.00,473700
23. June 2011,8978.50,8979.00,474025
22. June 2011,9007.00,9010.00,474525
21. June 2011,9060.00,9070.00,472825
20. June 2011,8935.00,8951.50,471850
17. June 2011,9101.50,9115.00,470825
16. June 2011,9011.50,9020.00,472150
15. June 2011,9147.00,9156.00,472625
14. June 2011,9010.00,9015.50,473675
13. June 2011,8895.00,8896.50,475750
10. June 2011,9000.50,9015.50,477925
09. June 2011,8950.50,8964.00,477850
08. June 2011,8970.50,8981.00,477150
07. June 2011,9092.00,9112.00,476750
06. June 2011,9098.00,9116.00,475700
03. June 2011,9016.00,9035.00,473475
02. June 2011,9037.50,9050.50,473500
01. June 2011,9171.00,9180.50,470850
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. May 2011,9224.50,9237.50,467775
27. May 2011,9151.00,9151.00,469475
26. May 2011,8990.50,9010.00,468225
25. May 2011,9019.00,9020.50,469375
24. May 2011,8881.50,8895.00,469250
23. May 2011,8831.00,8861.00,468175
20. May 2011,8982.50,9005.00,466250
19. May 2011,9006.50,9035.00,467025
18. May 2011,8896.50,8931.00,467800
17. May 2011,8863.00,8881.00,467575
16. May 2011,8710.00,8744.00,467075
13. May 2011,8857.00,8880.00,468525
12. May 2011,8536.50,8548.00,467725
11. May 2011,8750.50,8775.00,468350
10. May 2011,8935.50,8965.00,468325
09. May 2011,8908.00,8930.50,468600
06. May 2011,8790.00,8774.50,467175
05. May 2011,8791.00,8820.50,467450
04. May 2011,9171.50,9200.00,463925
03. May 2011,9245.00,9256.00,463800
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
28. April 2011,9370.50,9390.50,463650
27. April 2011,9348.50,9380.00,463500
26. April 2011,9455.50,9493.00,460100
21. April 2011,9611.00,9645.50,456275
20. April 2011,9450.50,9475.00,453700
19. April 2011,9279.00,9310.00,451950
18. April 2011,9356.50,9375.50,451775
15. April 2011,9420.00,9432.00,450425
14. April 2011,9326.50,9352.00,450800
13. April 2011,9625.50,9647.00,449925
12. April 2011,9670.50,9690.50,446700
11. April 2011,9781.50,9814.00,445700
08. April 2011,9823.00,9851.00,444175
07. April 2011,9697.00,9717.50,442375
06. April 2011,9475.50,9505.00,440875
05. April 2011,9251.50,9272.00,442325
04. April 2011,9420.00,9440.00,437900
01. April 2011,9336.00,9352.00,438850
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. March 2011,9399.50,9408.50,439850
30. March 2011,9519.50,9535.00,439725
29. March 2011,9450.00,9455.50,439500
28. March 2011,9545.00,9575.00,439900
25. March 2011,9715.00,9730.50,439275
24. March 2011,9695.50,9711.00,434625
23. March 2011,9704.00,9705.00,434150
22. March 2011,9450.00,9459.50,434350
21. March 2011,9519.00,9525.00,430500
18. March 2011,9525.00,9525.00,429650
17. March 2011,9440.00,9455.00,428800
16. March 2011,9354.50,9355.00,426975
15. March 2011,8980.00,8991.00,425950
14. March 2011,9205.50,9235.00,426000
11. March 2011,9048.00,9073.00,425875
10. March 2011,9195.50,9210.00,425475
09. March 2011,9610.00,9629.00,425725
08. March 2011,9420.00,9431.00,426500
07. March 2011,9840.50,9854.00,427150
04. March 2011,9970.50,9980.00,425300
03. March 2011,9889.50,9910.00,424050
02. March 2011,9820.50,9830.00,423550
01. March 2011,9908.00,9920.00,420275
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
28. February 2011,9857.50,9845.00,421000
25. February 2011,9700.00,9675.00,416825
24. February 2011,9440.00,9440.00,412675
23. February 2011,9491.00,9512.00,411700
22. February 2011,9655.00,9650.50,411750
21. February 2011,9829.50,9815.00,411475
18. February 2011,9806.00,9800.00,407925
17. February 2011,9800.00,9790.00,407200
16. February 2011,9925.00,9905.00,405800
15. February 2011,10106.50,10110.00,402425
14. February 2011,10148.00,10124.00,401775
11. February 2011,9920.50,9905.50,396725
10. February 2011,9875.50,9865.00,396950
09. February 2011,10000.00,9973.00,396400
08. February 2011,9930.50,9925.00,392025
07. February 2011,10145.00,10120.00,393525
04. February 2011,9986.00,9978.00,394150
03. February 2011,9950.50,9941.00,394475
02. February 2011,9945.00,9920.00,393775
