date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. December 2008,2902.00,2935.00,339775
30. December 2008,2812.00,2850.00,337350
29. December 2008,2843.00,2882.00,336700
24. December 2008,2770.00,2820.00,331450
23. December 2008,2850.50,2875.00,328200
22. December 2008,2910.50,2960.00,327500
19. December 2008,2826.00,2870.50,324300
18. December 2008,2885.50,2920.50,324175
17. December 2008,3000.00,3041.50,321900
16. December 2008,3020.50,3065.00,318625
15. December 2008,3075.50,3130.00,314825
12. December 2008,2982.00,3021.00,306825
11. December 2008,3232.50,3261.00,302850
10. December 2008,3180.50,3216.00,303600
09. December 2008,3120.00,3137.00,302575
08. December 2008,3141.00,3192.00,300725
05. December 2008,3050.50,3077.00,297300
04. December 2008,3360.50,3395.00,292975
03. December 2008,3423.00,3456.00,292775
02. December 2008,3530.50,3559.00,293025
01. December 2008,3595.50,3625.00,291200
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
28. November 2008,3581.00,3625.00,291650
27. November 2008,3665.00,3695.00,288725
26. November 2008,3742.00,3790.00,286350
25. November 2008,3565.50,3601.00,287225
24. November 2008,3715.50,3756.00,284400
21. November 2008,3470.50,3510.00,283125
20. November 2008,3430.50,3475.00,281625
19. November 2008,3565.00,3611.00,280050
18. November 2008,3511.00,3590.50,278575
17. November 2008,3580.50,3680.00,275900
14. November 2008,3722.00,3785.00,274100
13. November 2008,3591.00,3660.00,272625
12. November 2008,3592.00,3635.00,270100
11. November 2008,3690.50,3715.00,265475
10. November 2008,4005.00,4026.00,260850
08. November 2008,3761.00,3815.00,254800
07. November 2008,3761.00,3815.00,254800
06. November 2008,3890.00,3925.00,252550
05. November 2008,4071.00,4091.00,247475
04. November 2008,4231.00,4236.00,241650
03. November 2008,3960.00,3965.00,237925
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. October 2008,3995.00,3990.00,230650
30. October 2008,4497.00,4500.00,223875
29. October 2008,4420.50,4425.00,217300
28. October 2008,4129.00,4090.00,215550
27. October 2008,3686.00,3709.00,213375
24. October 2008,3721.00,3725.00,211975
23. October 2008,3986.00,3965.00,209250
22. October 2008,4286.00,4285.00,207750
21. October 2008,4490.00,4510.00,205900
20. October 2008,4875.50,4826.00,212400
17. October 2008,4701.00,4650.00,211450
16. October 2008,4880.00,4819.00,212025
15. October 2008,5126.00,5060.00,211625
14. October 2008,5555.00,5520.00,211800
13. October 2008,5031.00,4920.00,209325
10. October 2008,5000.00,4880.00,209400
09. October 2008,5402.00,5341.00,209300
08. October 2008,5505.00,5440.00,208525
07. October 2008,5739.00,5630.00,208350
06. October 2008,5706.00,5611.00,198750
03. October 2008,5960.00,5885.00,198500
02. October 2008,6221.00,6190.00,199075
01. October 2008,6379.00,6361.00,199050
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. September 2008,6419.00,6399.00,198600
29. September 2008,6590.00,6555.00,198925
26. September 2008,6926.00,6885.50,200175
25. September 2008,6905.00,6866.00,200525
24. September 2008,6995.00,6995.00,201050
23. September 2008,7090.00,7091.00,202075
22. September 2008,7166.00,7140.00,206700
19. September 2008,6900.00,6867.00,209800
18. September 2008,6932.00,6890.00,204150
17. September 2008,6932.00,6886.00,203975
16. September 2008,6841.00,6795.00,203975
15. September 2008,6879.00,6820.50,204350
12. September 2008,7096.00,7056.00,203075
