date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
27. October 2016,4774.00,4783.00,331450
26. October 2016,4717.50,4726.50,336225
25. October 2016,4720.00,4733.00,338800
24. October 2016,4620.50,4640.50,339950
21. October 2016,4637.00,4657.00,346775
20. October 2016,4633.50,4653.50,348575
19. October 2016,4642.50,4664.00,350625
18. October 2016,4665.50,4685.00,348000
17. October 2016,4671.50,4694.00,345800
14. October 2016,4672.50,4692.00,349075
13. October 2016,4754.50,4776.00,346150
12. October 2016,4805.00,4830.00,347850
11. October 2016,4801.50,4821.50,349350
10. October 2016,4786.00,4810.00,350675
07. October 2016,4742.00,4760.50,355300
06. October 2016,4742.00,4763.00,359725
05. October 2016,4777.50,4805.00,365050
04. October 2016,4790.50,4810.00,368525
03. October 2016,4807.00,4829.00,371775
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. September 2016,4832.00,4847.00,372225
29. September 2016,4816.50,4832.00,379175
28. September 2016,4807.50,4822.50,369075
27. September 2016,4775.00,4796.00,371475
26. September 2016,4794.00,4818.00,364125
23. September 2016,4815.00,4840.00,356875
22. September 2016,4815.50,4832.50,346050
21. September 2016,4733.00,4759.00,347800
20. September 2016,4732.50,4759.00,347950
19. September 2016,4731.50,4755.00,349625
16. September 2016,4733.50,4752.00,349000
15. September 2016,4727.00,4744.00,349225
14. September 2016,4694.50,4713.00,351500
13. September 2016,4641.50,4664.00,353375
12. September 2016,4573.00,4595.00,354200
09. September 2016,4622.50,4643.00,350600
08. September 2016,4617.50,4636.00,338225
07. September 2016,4643.00,4661.00,339600
06. September 2016,4623.00,4639.50,334975
05. September 2016,4603.00,4615.00,328525
02. September 2016,4607.00,4615.50,318500
01. September 2016,4620.00,4635.00,304775
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. August 2016,4602.50,4620.00,293525
30. August 2016,4609.00,4625.50,283225
26. August 2016,4622.00,4640.00,271575
25. August 2016,4639.50,4649.00,263875
24. August 2016,4658.50,4674.00,254700
23. August 2016,4719.00,4738.00,240075
22. August 2016,4732.00,4747.50,229375
19. August 2016,4774.00,4788.00,210625
18. August 2016,4802.50,4818.50,213425
17. August 2016,4755.50,4772.00,213300
16. August 2016,4798.00,4808.50,205375
15. August 2016,4746.00,4761.50,207150
12. August 2016,4746.00,4761.00,202375
11. August 2016,4810.00,4816.00,203925
10. August 2016,4874.50,4879.00,204825
09. August 2016,4779.00,4786.50,205350
08. August 2016,4796.00,4810.00,205025
05. August 2016,4792.50,4810.50,206650
04. August 2016,4787.00,4808.00,209300
03. August 2016,4844.50,4858.00,207350
02. August 2016,4885.50,4898.50,209650
01. August 2016,4907.00,4924.00,210075
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
29. July 2016,4853.00,4865.00,209450
28. July 2016,4862.00,4876.00,208725
27. July 2016,4869.50,4882.00,214425
26. July 2016,4862.00,4875.00,213725
25. July 2016,4920.00,4932.00,221350
22. July 2016,4956.00,4966.00,222725
21. July 2016,4953.50,4967.00,228400
20. July 2016,4900.50,4917.00,228000
19. July 2016,4938.00,4959.00,226300
18. July 2016,4839.00,4855.00,229425
15. July 2016,4945.50,4966.50,231275
14. July 2016,4911.50,4933.50,234925
13. July 2016,4918.50,4940.00,233050
12. July 2016,4811.50,4835.00,234750
11. July 2016,4746.00,4762.00,222600
08. July 2016,4710.00,4720.00,223225
07. July 2016,4725.00,4742.00,220725
06. July 2016,4706.00,4728.00,222550
05. July 2016,4840.50,4862.00,198925
04. July 2016,4920.00,4928.00,188400
01. July 2016,4783.50,4800.00,189125
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. June 2016,4827.00,4835.00,191525
29. June 2016,4780.00,4785.50,194200
28. June 2016,4777.50,4785.00,192950
27. June 2016,4692.00,4705.00,191700
24. June 2016,4663.00,4670.50,192375
23. June 2016,4747.00,4752.00,194375
22. June 2016,4687.50,4700.00,190700
21. June 2016,4587.00,4597.00,192175
20. June 2016,4585.00,4595.00,194025
17. June 2016,4521.50,4535.00,195925
16. June 2016,4524.50,4537.00,199025
15. June 2016,4632.00,4644.00,202150
14. June 2016,4510.50,4530.00,203275
13. June 2016,4515.00,4528.00,207625
10. June 2016,4504.00,4519.00,210675
09. June 2016,4546.00,4563.00,213225
08. June 2016,4590.50,4605.00,207300
07. June 2016,4589.00,4595.00,196225
06. June 2016,4706.00,4705.50,174400
03. June 2016,4688.00,4680.00,153675
02. June 2016,4600.00,4585.50,153525
01. June 2016,4601.00,4586.00,154350
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. May 2016,4700.00,4675.00,151725
27. May 2016,4725.50,4705.00,153750
26. May 2016,4705.50,4687.00,155975
25. May 2016,4636.00,4620.00,155250
24. May 2016,4637.00,4610.00,157250
23. May 2016,4572.00,4562.00,155000
20. May 2016,4630.50,4623.00,155725
19. May 2016,4596.00,4583.00,158600
18. May 2016,4600.50,4590.00,156850
17. May 2016,4634.00,4629.00,156750
16. May 2016,4640.50,4634.00,159025
13. May 2016,4660.00,4654.50,156675
12. May 2016,4744.00,4735.00,160000
11. May 2016,4748.00,4735.50,161625
10. May 2016,4710.00,4700.00,160900
09. May 2016,4739.50,4727.00,159600
06. May 2016,4810.00,4794.00,159025
05. May 2016,4826.00,4797.00,156725
04. May 2016,4892.00,4885.00,156500
03. May 2016,4960.00,4954.00,154675
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
29. April 2016,5045.00,5034.00,149500
28. April 2016,4912.50,4892.50,150725
27. April 2016,4932.00,4922.00,152200
26. April 2016,4935.50,4927.00,152475
25. April 2016,5000.50,4991.00,152400
22. April 2016,5015.50,5005.50,147800
21. April 2016,5025.50,5015.00,146275
20. April 2016,4938.50,4930.00,146200
19. April 2016,4812.00,4803.00,144700
18. April 2016,4798.00,4778.00,147275
15. April 2016,4813.50,4787.00,147975
14. April 2016,4830.50,4815.00,146500
13. April 2016,4838.00,4820.00,146475
12. April 2016,4715.50,4700.00,146450
11. April 2016,4645.00,4641.00,147350
08. April 2016,4654.00,4635.50,145675
07. April 2016,4715.00,4700.00,145000
06. April 2016,4775.00,4755.50,141075
05. April 2016,4776.00,4763.00,141425
04. April 2016,4816.00,4805.00,143475
01. April 2016,4880.00,4857.00,143400
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. March 2016,4855.50,4820.50,144750
30. March 2016,4940.00,4909.00,145450
29. March 2016,4939.50,4915.00,149125
24. March 2016,4931.00,4915.00,151375
23. March 2016,5060.50,5043.00,150675
22. March 2016,5070.00,5042.00,151975
21. March 2016,5079.50,5058.00,155275
18. March 2016,5103.00,5070.50,158275
17. March 2016,5029.00,5015.50,160925
16. March 2016,4945.00,4935.50,167025
15. March 2016,4920.00,4903.00,170075
14. March 2016,4994.00,4975.00,174175
11. March 2016,4941.00,4932.00,175975
10. March 2016,4920.50,4911.00,178575
09. March 2016,4935.50,4921.00,181975
08. March 2016,4980.50,4975.00,184850
07. March 2016,5000.00,4989.50,185225
04. March 2016,4918.00,4910.00,186700
03. March 2016,4830.00,4825.00,187725
02. March 2016,4780.00,4768.00,190750
01. March 2016,4726.00,4716.50,193475
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
29. February 2016,4705.00,4691.00,195625
26. February 2016,4681.00,4681.00,197225
25. February 2016,4655.00,4647.00,199250
24. February 2016,4585.50,4590.00,202450
23. February 2016,4663.50,4669.00,203700
22. February 2016,4696.00,4690.00,205500
19. February 2016,4590.00,4590.50,208525
18. February 2016,4577.00,4575.00,209950
17. February 2016,4562.00,4564.00,209875
16. February 2016,4583.50,4580.50,214300
15. February 2016,4562.00,4557.50,218300
12. February 2016,4488.50,4487.00,220225
11. February 2016,4474.00,4466.00,224750
10. February 2016,4507.00,4504.00,227300
09. February 2016,4530.50,4526.00,228125
08. February 2016,4572.50,4577.00,227100
05. February 2016,4669.00,4668.00,228650
04. February 2016,4685.00,4681.00,232700
03. February 2016,4578.50,4580.50,235400
02. February 2016,4605.50,4601.00,239025
01. February 2016,4534.00,4525.00,239400
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
29. January 2016,4541.50,4535.50,242375
28. January 2016,4553.50,4545.00,241250
27. January 2016,4507.50,4510.00,240325
26. January 2016,4501.00,4501.00,237375
25. January 2016,4454.00,4455.00,238825
22. January 2016,4468.00,4456.50,237350
21. January 2016,4376.00,4379.00,238125
20. January 2016,4347.00,4352.00,235300
19. January 2016,4440.50,4436.00,236125
18. January 2016,4360.00,4360.00,233550
15. January 2016,4310.50,4320.50,234175
14. January 2016,4365.50,4368.00,233400
13. January 2016,4380.00,4377.00,235525
12. January 2016,4355.00,4368.00,236725
11. January 2016,4402.50,4406.00,238625
08. January 2016,4486.50,4489.00,236650
07. January 2016,4514.00,4508.00,238000
06. January 2016,4600.00,4601.00,235850
05. January 2016,4647.00,4647.50,235225
04. January 2016,4645.00,4640.00,235800
