date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. December 2016,5501.00,5520.00,322225
29. December 2016,5514.00,5529.00,328350
28. December 2016,5486.00,5500.50,331100
27. December 2016,-,-,334525
23. December 2016,5482.00,5496.00,334525
22. December 2016,5426.00,5440.00,335800
21. December 2016,5498.50,5519.00,339625
20. December 2016,5485.50,5500.00,344025
19. December 2016,5561.00,5565.50,345475
16. December 2016,5649.00,5660.00,307075
15. December 2016,5682.50,5683.50,295300
14. December 2016,5735.00,5745.00,278125
13. December 2016,5765.50,5776.00,258175
12. December 2016,5757.00,5775.00,241550
09. December 2016,5824.00,5825.00,213325
08. December 2016,5838.00,5836.00,221125
07. December 2016,5903.50,5914.00,225925
06. December 2016,5856.00,5867.00,229500
05. December 2016,5851.50,5859.00,233025
02. December 2016,5736.00,5735.00,234025
01. December 2016,5773.00,5775.00,236675
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. November 2016,5740.00,5755.00,234825
29. November 2016,5778.00,5790.00,235475
28. November 2016,5935.50,5950.00,234250
25. November 2016,5822.50,5838.00,237200
24. November 2016,5834.50,5848.00,235875
23. November 2016,5564.00,5590.00,239400
22. November 2016,5618.00,5634.00,242275
21. November 2016,5535.50,5555.00,247075
18. November 2016,5446.00,5460.00,253700
17. November 2016,5426.00,5435.50,257875
16. November 2016,5459.00,5462.00,255600
15. November 2016,5448.00,5441.00,262050
14. November 2016,5620.00,5628.00,266150
11. November 2016,5900.00,5910.00,270850
10. November 2016,5619.00,5635.00,274950
09. November 2016,5335.00,5352.00,282600
08. November 2016,5044.00,5064.50,291625
07. November 2016,5032.00,5042.00,298400
04. November 2016,4943.00,4958.00,305000
03. November 2016,4918.00,4927.50,310600
02. November 2016,4871.00,4889.00,319000
01. November 2016,4862.50,4878.00,319475
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. October 2016,4827.50,4842.00,320825
28. October 2016,4787.00,4798.00,326400
