date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. December 2014,6359.00,6289.50,177025
30. December 2014,6330.00,6272.00,172250
29. December 2014,6332.00,6254.00,171850
24. December 2014,6361.00,6319.50,171850
23. December 2014,6363.00,6316.50,172225
22. December 2014,6426.50,6382.00,168700
19. December 2014,6445.50,6397.00,170000
18. December 2014,6350.50,6318.50,170900
17. December 2014,6306.00,6270.00,172200
16. December 2014,6390.00,6350.50,172675
15. December 2014,6560.00,6500.00,167425
12. December 2014,6526.50,6480.00,166500
11. December 2014,6471.50,6422.00,166450
10. December 2014,6476.00,6424.00,166075
09. December 2014,6401.00,6355.00,165850
08. December 2014,6465.50,6406.00,164900
05. December 2014,6536.00,6479.00,163475
04. December 2014,6491.00,6435.00,164025
03. December 2014,6451.00,6391.00,165475
02. December 2014,6455.00,6385.00,166025
01. December 2014,6385.00,6313.00,164800
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
28. November 2014,6515.50,6461.00,164300
27. November 2014,6621.50,6562.00,161950
26. November 2014,6649.00,6590.00,162125
25. November 2014,6696.00,6654.00,163200
24. November 2014,6731.00,6680.00,161850
21. November 2014,6790.00,6725.50,160825
20. November 2014,6688.00,6621.00,161500
19. November 2014,6715.00,6644.00,160825
18. November 2014,6684.00,6617.00,160425
17. November 2014,6752.00,6676.00,159125
14. November 2014,6695.00,6621.00,159400
13. November 2014,6755.50,6695.50,159950
12. November 2014,6752.50,6689.00,160800
11. November 2014,6688.00,6625.50,162025
10. November 2014,6735.50,6676.00,161900
07. November 2014,6720.50,6645.00,159775
06. November 2014,6681.00,6620.00,160400
05. November 2014,6646.00,6584.00,160350
04. November 2014,6705.50,6660.50,162100
03. November 2014,6801.00,6730.00,162100
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. October 2014,6835.50,6770.00,162600
30. October 2014,6785.00,6706.00,162625
29. October 2014,6855.00,6785.50,162675
28. October 2014,6859.50,6800.00,161050
27. October 2014,6800.50,6738.00,159550
24. October 2014,6759.50,6696.00,159550
23. October 2014,6718.50,6668.00,157500
22. October 2014,6730.50,6690.00,157525
21. October 2014,6660.00,6621.00,157625
20. October 2014,6615.00,6570.50,157725
17. October 2014,6629.00,6580.00,157825
16. October 2014,6630.00,6585.00,157675
15. October 2014,6781.00,6746.00,154650
14. October 2014,6780.50,6729.00,151725
13. October 2014,6802.00,6725.50,151225
10. October 2014,6697.00,6640.00,149650
09. October 2014,6767.00,6712.50,149900
08. October 2014,6755.00,6706.00,149625
07. October 2014,6715.00,6682.00,150050
06. October 2014,6712.50,6680.00,150050
03. October 2014,6665.00,6630.00,150550
02. October 2014,6693.50,6652.00,151375
01. October 2014,6755.00,6712.00,152275
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. September 2014,6736.00,6687.00,152550
29. September 2014,6735.50,6694.50,154100
26. September 2014,6771.00,6721.00,154500
25. September 2014,6766.00,6725.50,155600
24. September 2014,6750.00,6715.00,156100
23. September 2014,6797.00,6750.00,152100
22. September 2014,6782.00,6735.00,153700
19. September 2014,6868.50,6827.00,154375
18. September 2014,6920.00,6884.00,154775
17. September 2014,6958.50,6920.50,155400
16. September 2014,6895.50,6857.50,156325
15. September 2014,6850.00,6820.50,156375
12. September 2014,6856.00,6835.50,156475
11. September 2014,6829.00,6803.00,155775
10. September 2014,6897.50,6871.00,155625
09. September 2014,6937.00,6930.00,154700
08. September 2014,7040.50,7030.00,154600
05. September 2014,6973.00,6960.00,154700
04. September 2014,6967.00,6950.00,154700
03. September 2014,6927.00,6905.50,154825
02. September 2014,6965.50,6947.00,147825
01. September 2014,6966.50,6942.00,148025
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
29. August 2014,6995.00,6971.00,148150
28. August 2014,7033.00,7001.00,148425
27. August 2014,7051.00,7030.00,147375
26. August 2014,7096.00,7070.00,146225
22. August 2014,7088.00,7077.00,146325
21. August 2014,7003.00,6985.00,146425
20. August 2014,6922.00,6905.00,145200
19. August 2014,6934.50,6906.00,145350
18. August 2014,6910.00,6887.00,141275
15. August 2014,6852.50,6845.00,141300
14. August 2014,6886.50,6873.00,141350
13. August 2014,6925.50,6917.00,141350
12. August 2014,7025.50,7010.50,140675
11. August 2014,7010.50,7003.00,141375
08. August 2014,7020.00,7005.00,142275
07. August 2014,6980.50,6971.00,143700
06. August 2014,6995.00,6977.00,144350
05. August 2014,7100.50,7103.50,145575
04. August 2014,7104.00,7096.00,146175
01. August 2014,7078.00,7060.00,146200
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. July 2014,7135.50,7120.00,146750
30. July 2014,7090.00,7065.00,147925
29. July 2014,7116.00,7102.50,149475
28. July 2014,7132.00,7120.50,150900
25. July 2014,7183.50,7180.50,152600
24. July 2014,7151.00,7145.00,154350
23. July 2014,7065.00,7070.50,156300
22. July 2014,7060.50,7065.00,157125
21. July 2014,6989.50,6989.00,158000
18. July 2014,7026.50,7026.00,157700
17. July 2014,7030.50,7041.00,158575
16. July 2014,7112.00,7123.00,159175
15. July 2014,7102.50,7105.00,159375
14. July 2014,7154.50,7140.50,159400
11. July 2014,7151.00,7140.00,158475
10. July 2014,7110.00,7090.50,158100
09. July 2014,7173.00,7156.00,159075
08. July 2014,7155.00,7153.00,158050
07. July 2014,7120.50,7115.50,159350
04. July 2014,7159.00,7151.00,156500
03. July 2014,7121.00,7118.00,157050
02. July 2014,7050.00,7035.00,156775
01. July 2014,7015.00,6995.50,154700
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. June 2014,6955.00,6935.00,154675
27. June 2014,6976.00,6938.50,155150
26. June 2014,6936.50,6911.50,156000
25. June 2014,6890.50,6871.00,156825
24. June 2014,6898.50,6875.50,157725
23. June 2014,6901.00,6880.00,158575
20. June 2014,6777.50,6766.00,159425
19. June 2014,6730.50,6725.00,160000
18. June 2014,6739.00,6737.00,160675
17. June 2014,6711.00,6702.00,161200
16. June 2014,6735.00,6700.00,162250
13. June 2014,6671.50,6642.00,163700
12. June 2014,6725.00,6670.00,165725
11. June 2014,6689.50,6657.00,166750
10. June 2014,6695.50,6670.00,166825
09. June 2014,6667.50,6660.00,167250
06. June 2014,6660.50,6656.00,167775
05. June 2014,6800.00,6771.00,167925
04. June 2014,6835.00,6779.00,168475
03. June 2014,6930.00,6868.00,168825
02. June 2014,7003.00,6923.00,170825
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. May 2014,6995.50,6906.00,171350
29. May 2014,6970.00,6876.00,172500
28. May 2014,7035.00,6945.00,169825
27. May 2014,7020.00,6921.00,176550
26. May 2014,-,-,175850
23. May 2014,6991.00,6919.00,175850
22. May 2014,6945.50,6870.00,177350
21. May 2014,6841.00,6805.00,179100
20. May 2014,6922.50,6884.50,180825
19. May 2014,-,-,186525
16. May 2014,6950.00,6877.00,186525
15. May 2014,6949.00,6886.00,191075
14. May 2014,6976.50,6927.00,197475
13. May 2014,6884.50,6844.00,202975
12. May 2014,6930.00,6878.00,205325
09. May 2014,6770.00,6724.50,208325
08. May 2014,6690.50,6659.00,213025
07. May 2014,6688.00,6660.00,216950
06. May 2014,6740.00,6699.50,225425
02. May 2014,6699.00,6666.00,229800
01. May 2014,6670.50,6642.00,231000
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. April 2014,6724.00,6710.50,233325
29. April 2014,6770.00,6750.00,235075
28. April 2014,6782.00,6750.50,237000
25. April 2014,6785.50,6775.00,238950
24. April 2014,6731.00,6720.00,239950
23. April 2014,6645.00,6636.00,240975
22. April 2014,6628.50,6625.00,241925
17. April 2014,6631.00,6632.50,242300
16. April 2014,6600.00,6604.00,242300
15. April 2014,6630.00,6631.00,242775
14. April 2014,6645.00,6635.50,244950
11. April 2014,6686.00,6690.50,248325
10. April 2014,6637.50,6627.00,250025
09. April 2014,6630.50,6626.00,250775
08. April 2014,6652.00,6650.00,252600
07. April 2014,6610.50,6616.00,254575
04. April 2014,6677.00,6681.00,257775
03. April 2014,6606.00,6610.50,260100
02. April 2014,6713.00,6707.00,261375
01. April 2014,6632.00,6629.00,263250
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. March 2014,6636.00,6626.00,265175
28. March 2014,6667.00,6654.00,267200
27. March 2014,6581.00,6570.00,268550
26. March 2014,6555.00,6551.00,269750
25. March 2014,6559.50,6560.00,266825
24. March 2014,6510.00,6503.00,263675
21. March 2014,6539.50,6526.00,265700
20. March 2014,6434.50,6430.00,267850
19. March 2014,6446.00,6435.50,269725
18. March 2014,6471.50,6450.50,271750
17. March 2014,6550.00,6545.00,253375
14. March 2014,6490.00,6467.00,251300
13. March 2014,6495.00,6460.50,253275
12. March 2014,6498.00,6470.00,255500
11. March 2014,6720.50,6689.00,257600
10. March 2014,6716.00,6690.50,265400
07. March 2014,6930.50,6915.50,269000
06. March 2014,7054.50,7035.00,272175
05. March 2014,7102.50,7055.00,273675
04. March 2014,7035.00,6996.00,275200
03. March 2014,7032.50,6962.00,273725
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
28. February 2014,7097.50,7026.00,276225
27. February 2014,7095.00,7024.00,274350
26. February 2014,7149.00,7076.50,276400
25. February 2014,7115.00,7055.00,279150
24. February 2014,7130.00,7061.50,282475
21. February 2014,7211.50,7151.00,285350
20. February 2014,7185.00,7132.00,289600
19. February 2014,7220.00,7181.00,290625
18. February 2014,7205.00,7171.00,293150
17. February 2014,7210.00,7174.00,296025
14. February 2014,7175.50,7131.00,299125
13. February 2014,7157.00,7118.50,300675
12. February 2014,7174.50,7137.00,302050
11. February 2014,7120.00,7099.00,303825
10. February 2014,7190.50,7144.00,306400
07. February 2014,7200.00,7159.00,308025
06. February 2014,7109.00,7060.50,309250
05. February 2014,7096.00,7060.00,311225
04. February 2014,7107.00,7060.00,313275
03. February 2014,7095.50,7051.00,313875
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. January 2014,7091.00,7062.50,314525
30. January 2014,7155.00,7116.00,316200
29. January 2014,7209.00,7160.00,318800
28. January 2014,7215.00,7172.00,322575
27. January 2014,7235.00,7200.00,325400
24. January 2014,7240.00,7207.50,326975
23. January 2014,7285.00,7258.00,327400
22. January 2014,7327.00,7289.50,328375
21. January 2014,7332.00,7282.00,330675
20. January 2014,7340.00,7310.00,334550
17. January 2014,7379.50,7340.00,335775
16. January 2014,7345.50,7327.50,336825
15. January 2014,7309.00,7291.00,336250
14. January 2014,7343.00,7320.00,337775
13. January 2014,7305.50,7276.00,340775
10. January 2014,7283.50,7258.00,343875
09. January 2014,7282.00,7263.50,348250
08. January 2014,7368.00,7357.00,351675
07. January 2014,7354.00,7335.00,353075
06. January 2014,7313.50,7290.50,356125
03. January 2014,7335.50,7323.00,359075
02. January 2014,7439.50,7422.00,365700
