date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
03. August 2017,6290.00,6318.00,299425
02. August 2017,6300.00,6321.50,301100
01. August 2017,6300.50,6336.00,295525
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. July 2017,6347.00,6383.00,296975
28. July 2017,6283.00,6315.00,300575
27. July 2017,6325.00,6356.00,302125
26. July 2017,6238.00,6270.50,303250
25. July 2017,6150.00,6180.50,304850
24. July 2017,6000.00,6030.00,305875
21. July 2017,6001.50,6035.00,306625
20. July 2017,5930.00,5968.00,308050
19. July 2017,5956.00,5994.00,309250
18. July 2017,5940.50,5973.00,307275
17. July 2017,5965.50,5985.00,309125
14. July 2017,5858.00,5880.50,313300
13. July 2017,5902.00,5920.00,318225
12. July 2017,5882.50,5914.00,318550
11. July 2017,5795.00,5824.50,319750
10. July 2017,5780.00,5815.00,319975
07. July 2017,5809.00,5829.00,315075
06. July 2017,5828.50,5861.00,314775
05. July 2017,5818.00,5848.50,315925
04. July 2017,5847.00,5875.00,275600
03. July 2017,5894.00,5917.00,278275
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. June 2017,5907.50,5918.00,249700
29. June 2017,5905.50,5925.00,243300
28. June 2017,5822.00,5840.00,248675
27. June 2017,5789.00,5812.00,250550
26. June 2017,5771.00,5795.00,254675
23. June 2017,5774.00,5797.00,258700
22. June 2017,5736.00,5762.00,256700
21. June 2017,5650.00,5677.00,259300
20. June 2017,5673.50,5699.00,262075
19. June 2017,5687.00,5710.00,265175
16. June 2017,5655.50,5679.00,268450
15. June 2017,5637.00,5667.00,268500
14. June 2017,5684.50,5717.00,272625
13. June 2017,5659.00,5693.00,275850
12. June 2017,5752.00,5783.00,279575
09. June 2017,5739.00,5764.00,276875
08. June 2017,5647.50,5675.50,286350
07. June 2017,5575.50,5606.00,294225
06. June 2017,5540.50,5570.00,299575
05. June 2017,5586.50,5616.00,302625
02. June 2017,5559.50,5584.00,305550
01. June 2017,5636.50,5662.00,308000
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. May 2017,5615.50,5640.00,311150
30. May 2017,5608.00,5630.00,315200
26. May 2017,5671.00,5689.00,318650
25. May 2017,5665.00,5687.50,-
24. May 2017,5662.50,5680.00,325675
23. May 2017,5660.50,5684.00,329875
22. May 2017,5677.00,5695.50,332300
19. May 2017,5596.00,5617.50,336650
18. May 2017,5490.00,5508.00,340350
17. May 2017,5575.00,5597.00,339600
16. May 2017,5584.00,5594.00,322500
15. May 2017,5586.00,5612.00,325150
12. May 2017,5520.00,5541.00,329375
11. May 2017,5580.50,5603.00,336725
10. May 2017,5512.00,5537.50,339200
09. May 2017,5496.00,5520.00,342825
08. May 2017,5466.00,5491.00,351550
05. May 2017,5530.50,5560.00,354650
04. May 2017,5543.00,5570.00,317850
03. May 2017,5636.50,5665.00,284925
02. May 2017,5746.50,5780.00,253675
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
28. April 2017,5688.50,5714.00,259725
27. April 2017,5686.50,5712.00,260575
26. April 2017,5677.50,5705.00,261475
25. April 2017,5652.50,5688.00,262250
24. April 2017,5612.00,5644.00,264850
21. April 2017,5601.00,5633.00,268400
20. April 2017,5611.50,5645.00,268450
19. April 2017,5600.50,5630.50,267475
18. April 2017,5620.50,5650.00,255425
13. April 2017,5655.00,5686.00,257200
12. April 2017,5685.00,5711.00,258825
11. April 2017,5746.00,5772.00,259675
10. April 2017,5731.00,5766.00,266575
07. April 2017,5770.00,5810.00,265325
06. April 2017,5870.50,5900.50,270550
05. April 2017,5808.50,5840.00,273750
04. April 2017,5724.50,5750.00,279875
03. April 2017,5817.00,5847.00,283900
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. March 2017,5849.00,5865.50,291175
30. March 2017,5860.00,5881.00,297550
29. March 2017,5847.00,5866.00,304275
28. March 2017,5774.50,5800.00,309225
27. March 2017,5673.50,5694.00,311375
24. March 2017,5782.50,5815.50,312525
23. March 2017,5790.50,5825.00,317100
22. March 2017,5712.00,5741.00,323975
21. March 2017,5765.50,5794.00,329850
20. March 2017,5891.00,5912.00,332975
17. March 2017,5889.00,5909.00,337600
16. March 2017,5911.00,5935.00,339025
15. March 2017,5850.00,5869.00,340525
14. March 2017,5747.00,5772.00,332050
13. March 2017,5794.00,5805.00,331200
10. March 2017,5714.50,5729.00,325500
09. March 2017,5655.00,5672.00,327300
08. March 2017,5782.00,5798.00,288525
07. March 2017,5807.00,5822.00,261975
06. March 2017,5856.00,5865.50,235250
03. March 2017,5910.00,5918.00,196425
02. March 2017,5994.00,6001.00,200000
01. March 2017,6040.00,6051.00,200725
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
28. February 2017,5936.00,5940.00,203100
27. February 2017,5927.00,5935.00,206875
24. February 2017,5881.00,5893.00,210800
23. February 2017,5991.00,6003.00,214025
22. February 2017,5976.00,5991.00,219425
21. February 2017,6034.00,6045.50,221425
20. February 2017,6002.00,6007.00,224025
17. February 2017,5939.00,5960.00,229075
16. February 2017,6015.00,6036.00,236725
15. February 2017,6016.00,6036.00,235825
14. February 2017,6145.00,6156.00,243350
13. February 2017,6111.00,6111.50,247825
10. February 2017,5872.00,5873.00,248200
09. February 2017,5863.00,5875.00,251525
08. February 2017,5865.00,5879.00,254725
07. February 2017,5802.00,5816.00,253450
06. February 2017,5786.00,5794.00,253725
03. February 2017,5836.00,5845.00,257150
02. February 2017,5903.00,5922.00,259500
01. February 2017,5931.00,5936.00,260850
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. January 2017,5921.00,5930.00,261325
30. January 2017,5857.00,5877.00,262150
27. January 2017,5847.00,5864.50,263775
26. January 2017,5890.00,5912.00,268975
25. January 2017,5867.00,5893.00,271025
24. January 2017,5879.00,5895.00,272150
23. January 2017,5775.00,5795.00,274650
20. January 2017,5706.00,5735.00,275400
19. January 2017,5710.00,5733.00,274100
18. January 2017,5721.00,5750.00,276050
17. January 2017,5771.50,5797.00,277375
16. January 2017,5857.00,5885.50,279000
13. January 2017,5797.00,5828.00,281700
12. January 2017,5752.50,5779.00,285700
11. January 2017,5709.50,5730.50,288225
10. January 2017,5642.00,5661.00,293400
09. January 2017,5551.50,5576.00,294900
06. January 2017,5546.50,5571.00,295125
05. January 2017,5611.00,5629.00,301775
04. January 2017,5500.50,5518.00,305875
03. January 2017,5574.00,5584.00,311825
