date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
29. December 2017,7157.00,7192.00,201725
28. December 2017,7216.00,7251.50,202850
27. December 2017,7140.00,7182.00,202100
22. December 2017,7019.00,7060.00,201600
21. December 2017,6977.00,7020.00,201650
20. December 2017,6925.00,6975.00,201150
19. December 2017,6845.00,6883.00,201725
18. December 2017,6844.00,6879.00,196725
15. December 2017,6735.50,6777.00,195200
14. December 2017,6723.00,6760.50,191550
13. December 2017,6685.00,6727.00,191600
12. December 2017,6614.00,6653.00,193475
11. December 2017,6547.50,6588.00,194600
08. December 2017,6538.50,6575.00,195150
07. December 2017,6530.50,6566.00,193975
06. December 2017,6539.00,6572.00,193675
05. December 2017,6645.00,6675.50,192550
04. December 2017,6807.00,6835.00,182425
01. December 2017,6734.00,6770.00,183525
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. November 2017,6761.00,6793.00,188525
29. November 2017,6756.50,6780.50,191725
28. November 2017,6800.00,6827.00,196675
27. November 2017,6892.00,6920.00,204200
24. November 2017,6967.50,7000.00,213600
23. November 2017,6895.50,6928.00,219075
22. November 2017,6872.50,6910.50,226275
21. November 2017,6828.00,6861.00,234375
20. November 2017,6752.00,6785.00,241400
17. November 2017,6728.50,6770.00,247700
16. November 2017,6764.00,6798.00,251550
15. November 2017,6715.50,6752.00,255450
14. November 2017,6822.50,6863.00,258800
13. November 2017,6768.00,6802.00,258275
10. November 2017,6797.00,6834.50,260150
09. November 2017,6777.00,6801.50,259725
08. November 2017,6812.00,6838.00,263425
07. November 2017,6863.00,6900.00,267650
06. November 2017,6902.50,6937.50,268450
03. November 2017,6914.50,6945.00,270400
02. November 2017,6855.00,6883.00,273850
01. November 2017,6918.00,6936.50,273675
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. October 2017,6802.00,6831.00,274625
30. October 2017,6823.00,6850.00,273625
27. October 2017,6831.50,6851.00,272625
26. October 2017,6965.00,6990.50,275575
25. October 2017,6970.50,6991.00,279400
24. October 2017,7073.50,7096.00,281550
23. October 2017,6959.00,6990.00,283450
20. October 2017,7008.50,7035.00,287625
19. October 2017,6920.00,6965.00,291250
18. October 2017,6971.50,7012.00,292225
17. October 2017,7046.00,7065.00,291325
16. October 2017,7063.00,7082.00,285025
13. October 2017,6858.00,6886.50,283800
12. October 2017,6813.00,6852.00,285900
11. October 2017,6685.00,6740.00,286925
10. October 2017,6641.00,6695.00,289875
09. October 2017,6607.00,6660.00,291000
06. October 2017,6639.00,6690.00,293450
05. October 2017,6511.00,6554.00,296075
04. October 2017,6453.00,6505.00,298525
03. October 2017,6447.00,6504.00,302050
02. October 2017,6455.00,6504.00,295500
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
29. September 2017,6485.00,6531.00,297250
28. September 2017,6405.00,6452.00,298425
27. September 2017,6426.00,6475.00,301950
26. September 2017,6423.00,6480.00,305150
25. September 2017,6416.00,6460.00,305250
22. September 2017,6405.00,6450.00,309050
21. September 2017,6407.50,6453.00,311250
20. September 2017,6520.00,6565.00,313850
19. September 2017,6492.00,6540.00,300625
18. September 2017,6487.00,6534.50,302925
15. September 2017,6457.00,6500.00,304350
14. September 2017,6418.50,6459.00,276025
13. September 2017,6527.00,6572.00,246575
12. September 2017,6601.50,6644.00,218725
11. September 2017,6737.00,6759.00,208425
08. September 2017,6780.00,6805.00,213175
07. September 2017,6842.50,6870.00,210725
06. September 2017,6864.00,6891.00,214775
05. September 2017,6904.00,6937.00,217550
04. September 2017,6873.00,6905.00,220875
01. September 2017,6776.00,6812.00,223500
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. August 2017,6792.00,6819.00,228450
30. August 2017,6755.00,6785.00,223050
29. August 2017,6797.00,6813.00,233025
25. August 2017,6714.00,6726.00,240825
24. August 2017,6577.00,6605.00,245050
23. August 2017,6555.00,6587.00,249525
22. August 2017,6584.00,6621.00,255700
21. August 2017,6514.50,6550.00,261700
18. August 2017,6453.00,6490.00,271350
17. August 2017,6460.00,6496.00,275800
16. August 2017,6433.00,6468.50,279000
15. August 2017,6382.00,6415.00,280975
14. August 2017,6351.00,6383.00,283325
11. August 2017,6353.50,6379.00,283675
10. August 2017,6416.50,6444.50,288050
09. August 2017,6465.00,6495.00,288925
08. August 2017,6364.00,6394.00,293950
07. August 2017,6333.00,6365.50,296700
04. August 2017,6330.00,6357.00,298225
