date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. December 2015,4702.00,4701.00,236225
30. December 2015,4715.00,4720.00,236975
29. December 2015,4685.00,4687.00,237075
24. December 2015,4665.50,4676.00,235200
23. December 2015,4680.00,4685.00,233675
22. December 2015,4672.50,4690.50,232350
21. December 2015,4691.00,4702.00,232175
18. December 2015,4650.00,4654.00,231825
17. December 2015,4550.00,4555.00,231475
16. December 2015,4583.00,4588.00,231775
15. December 2015,4586.00,4600.50,232650
14. December 2015,4640.00,4640.00,232200
11. December 2015,4667.00,4669.00,232675
10. December 2015,4572.00,4570.00,231925
09. December 2015,4620.00,4613.00,232700
08. December 2015,4567.50,4567.00,235725
07. December 2015,4592.50,4598.00,235750
04. December 2015,4637.00,4637.00,237625
03. December 2015,4525.00,4517.00,239250
02. December 2015,4589.00,4582.00,239200
01. December 2015,4619.00,4608.50,243025
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. November 2015,4595.50,4589.00,244375
27. November 2015,4636.00,4620.50,243350
26. November 2015,4667.00,4650.00,244800
25. November 2015,4541.00,4529.00,247925
24. November 2015,4527.00,4512.00,250675
23. November 2015,4515.50,4500.00,251125
20. November 2015,4690.00,4655.00,252325
19. November 2015,4610.00,4600.00,255050
18. November 2015,4669.00,4660.00,255275
17. November 2015,4700.00,4687.00,258500
16. November 2015,4765.00,4765.00,262250
13. November 2015,4825.00,4810.00,258700
12. November 2015,4872.50,4860.00,261025
11. November 2015,4931.00,4912.00,256275
10. November 2015,4933.50,4925.00,258625
09. November 2015,4990.00,4980.00,261125
06. November 2015,5000.00,4995.00,266100
05. November 2015,5053.00,5040.00,269525
04. November 2015,5165.50,5157.00,263125
03. November 2015,5149.00,5127.50,266225
02. November 2015,5137.50,5115.00,267850
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. October 2015,5135.50,5116.00,267775
29. October 2015,5161.00,5155.00,270200
28. October 2015,5179.00,5167.00,273350
27. October 2015,5219.50,5216.00,274075
26. October 2015,5233.00,5221.00,277950
23. October 2015,5295.00,5285.50,277600
22. October 2015,5274.00,5268.00,280275
21. October 2015,5185.50,5182.00,284050
20. October 2015,5189.00,5182.00,289075
19. October 2015,5240.00,5231.00,293575
16. October 2015,5270.00,5260.00,292950
15. October 2015,5344.00,5326.00,293650
14. October 2015,5278.00,5252.00,297175
13. October 2015,5260.50,5252.50,300600
12. October 2015,5335.00,5324.00,303200
09. October 2015,5319.00,5305.00,305225
08. October 2015,5160.00,5149.00,305475
07. October 2015,5241.00,5240.00,308100
06. October 2015,5175.00,5160.00,312225
05. October 2015,5144.50,5134.50,317600
02. October 2015,5081.00,5075.50,319425
01. October 2015,5178.00,5168.00,320400
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. September 2015,5093.00,5071.00,323800
29. September 2015,5010.00,4994.50,323975
28. September 2015,4965.00,4944.00,324600
25. September 2015,5098.00,5071.00,325275
24. September 2015,5046.00,5040.00,322900
23. September 2015,5112.00,5108.00,327175
22. September 2015,5131.00,5126.00,330100
21. September 2015,5267.00,5255.00,335850
18. September 2015,5358.00,5349.00,335200
17. September 2015,5369.00,5362.00,333050
16. September 2015,5350.00,5349.00,334850
15. September 2015,5290.00,5278.00,337525
14. September 2015,5324.00,5305.00,340875
11. September 2015,5352.00,5336.00,342000
10. September 2015,5400.00,5382.00,344300
09. September 2015,5366.00,5354.00,346850
08. September 2015,5280.00,5256.00,346200
07. September 2015,5176.00,5171.00,352325
04. September 2015,5155.50,5150.00,355850
03. September 2015,5250.00,5223.50,360825
02. September 2015,5090.50,5070.00,362675
01. September 2015,5095.00,5084.00,367650
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
28. August 2015,5095.00,5076.00,371250
27. August 2015,5029.00,4999.00,370425
26. August 2015,4959.00,4931.50,369025
25. August 2015,5032.00,5011.00,355550
24. August 2015,4888.00,4887.00,356200
21. August 2015,5046.00,5040.50,353825
20. August 2015,5060.50,5065.00,353625
19. August 2015,5006.50,5007.00,354200
18. August 2015,5000.50,5005.00,353600
17. August 2015,5101.00,5107.00,350650
14. August 2015,5156.00,5165.00,350325
13. August 2015,5148.00,5156.00,350075
12. August 2015,5103.00,5118.50,350000
11. August 2015,5140.00,5160.50,354950
10. August 2015,5150.00,5165.00,354125
07. August 2015,5135.50,5145.50,352325
06. August 2015,5165.00,5176.00,351600
05. August 2015,5171.50,5179.50,350825
04. August 2015,5215.50,5227.00,347500
03. August 2015,5176.50,5187.00,346525
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. July 2015,5220.00,5221.00,345475
30. July 2015,5241.00,5255.00,346125
29. July 2015,5302.00,5315.50,345050
28. July 2015,5239.50,5255.00,344125
27. July 2015,5190.00,5200.00,342925
24. July 2015,5224.50,5240.50,343250
23. July 2015,5340.00,5350.50,340675
22. July 2015,5350.50,5369.50,338975
21. July 2015,5475.50,5505.00,339475
20. July 2015,5425.00,5446.00,339775
17. July 2015,5465.00,5490.00,340325
16. July 2015,5530.00,5546.00,337200
15. July 2015,5597.00,5621.00,337525
