date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. December 2020,7741.50,7757.00,107950
30. December 2020,7803.50,7815.50,110875
29. December 2020,7840.00,7854.00,113975
24. December 2020,7793.00,7811.50,116100
23. December 2020,7764.50,7784.50,119375
22. December 2020,7753.00,7777.00,119600
21. December 2020,7838.50,7858.50,122975
18. December 2020,7964.00,7984.50,123400
17. December 2020,7893.00,7914.00,127725
16. December 2020,7823.00,7847.50,133125
15. December 2020,7753.00,7775.50,141900
14. December 2020,7763.00,7787.00,144775
11. December 2020,7741.00,7760.00,146325
10. December 2020,7712.00,7729.50,147825
09. December 2020,7704.50,7723.50,149575
08. December 2020,7635.00,7647.50,149625
07. December 2020,7656.50,7672.00,150125
04. December 2020,7741.50,7748.50,149675
03. December 2020,7679.00,7682.00,149325
02. December 2020,7616.50,7623.00,149675
01. December 2020,7644.00,7649.00,149925
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. November 2020,7674.50,7681.00,149800
27. November 2020,7462.00,7476.50,150775
26. November 2020,7356.50,7370.50,152025
25. November 2020,7238.50,7257.50,153175
24. November 2020,7302.00,7314.00,154825
23. November 2020,7215.50,7233.50,156075
20. November 2020,7178.50,7195.00,157350
19. November 2020,7028.00,7046.50,159475
18. November 2020,7083.00,7101.50,160200
17. November 2020,7050.00,7071.00,161700
16. November 2020,7113.00,7128.50,163025
13. November 2020,6926.00,6943.50,165200
12. November 2020,6904.00,6921.50,166200
11. November 2020,6912.50,6934.00,167825
10. November 2020,6865.50,6882.00,169575
09. November 2020,7034.00,7045.00,171125
06. November 2020,6938.50,6946.50,172450
05. November 2020,6798.00,6808.00,174050
04. November 2020,6748.00,6760.00,176650
03. November 2020,6791.50,6801.00,169400
02. November 2020,6712.50,6725.00,169600
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. October 2020,6694.50,6706.00,171300
29. October 2020,6692.00,6708.00,172625
28. October 2020,6694.50,6713.50,174900
27. October 2020,6787.50,6807.50,177075
26. October 2020,6806.00,6824.50,178725
23. October 2020,6879.50,6897.50,180300
22. October 2020,6886.00,6901.50,180625
21. October 2020,6953.00,6964.50,181650
20. October 2020,6814.00,6836.50,183175
19. October 2020,6755.00,6773.50,183900
16. October 2020,6728.00,6740.50,184850
15. October 2020,6683.50,6698.00,168875
14. October 2020,6702.00,6715.50,169925
13. October 2020,6699.50,6705.50,153200
12. October 2020,6769.00,6770.50,152975
09. October 2020,6740.50,6741.00,153925
08. October 2020,6611.50,6622.50,154750
07. October 2020,6525.00,6538.00,155400
06. October 2020,6509.00,6528.00,156125
05. October 2020,6507.50,6519.50,160875
02. October 2020,6409.50,6418.50,161975
01. October 2020,6614.00,6628.00,163125
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. September 2020,6610.00,6612.00,165600
29. September 2020,6546.00,6558.00,136325
28. September 2020,6571.50,6584.50,103125
25. September 2020,6529.00,6523.00,73625
24. September 2020,6538.50,6534.00,76325
23. September 2020,6725.50,6707.00,77275
22. September 2020,6810.00,6784.00,78300
21. September 2020,6837.00,6804.50,78425
18. September 2020,6833.50,6801.00,78900
17. September 2020,6761.00,6737.50,78750
16. September 2020,6776.00,6757.00,78900
15. September 2020,6813.50,6800.50,78550
14. September 2020,6788.00,6762.00,74875
11. September 2020,6757.50,6729.00,75550
10. September 2020,6710.50,6684.50,75975
09. September 2020,6709.00,6681.00,73425
08. September 2020,6767.50,6736.00,76550
07. September 2020,6790.50,6772.00,77550
04. September 2020,6678.00,6655.00,82450
03. September 2020,6613.00,6604.00,84650
02. September 2020,6719.00,6705.00,84975
01. September 2020,6788.50,6768.00,88250
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
28. August 2020,6728.00,6702.00,89350
27. August 2020,6602.50,6575.00,90775
26. August 2020,6603.50,6584.00,92025
25. August 2020,6544.50,6525.00,95525
24. August 2020,6579.50,6559.50,97900
21. August 2020,6564.50,6542.00,103475
20. August 2020,6594.50,6584.50,104425
19. August 2020,6667.00,6648.00,106225
18. August 2020,6492.50,6486.50,107525
17. August 2020,6439.50,6428.00,110000
14. August 2020,6342.50,6334.00,113200
13. August 2020,6380.00,6373.50,113875
12. August 2020,6379.00,6380.50,114575
11. August 2020,6356.50,6361.00,114625
10. August 2020,6363.00,6361.50,114375
07. August 2020,6437.00,6428.50,117950
06. August 2020,6453.50,6450.50,120950
05. August 2020,6525.50,6523.00,122450
04. August 2020,6440.00,6435.00,125150
03. August 2020,6441.00,6435.00,126675
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. July 2020,6446.50,6439.50,128125
30. July 2020,6433.50,6428.00,129225
29. July 2020,6475.00,6468.00,131900
28. July 2020,6399.50,6393.00,134025
27. July 2020,6425.50,6420.00,138025
24. July 2020,6412.50,6389.50,141725
23. July 2020,6533.50,6510.50,143800
22. July 2020,6527.00,6506.00,145050
21. July 2020,6513.00,6505.00,146300
20. July 2020,6416.50,6410.50,151075
17. July 2020,6454.50,6447.00,157350
16. July 2020,6385.00,6384.00,159800
15. July 2020,6507.00,6510.00,166450
14. July 2020,6489.50,6491.00,168225
13. July 2020,6545.00,6537.00,176350
10. July 2020,6322.50,6320.00,181075
09. July 2020,6339.50,6339.50,185200
08. July 2020,6194.00,6197.50,192025
07. July 2020,6086.00,6089.00,195825
06. July 2020,6112.00,6105.00,206375
03. July 2020,6022.50,6021.00,206375
02. July 2020,6080.00,6083.00,210700
01. July 2020,6016.50,6023.50,213325
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. June 2020,6038.00,6043.50,216600
29. June 2020,5957.00,5966.50,219600
26. June 2020,5985.50,5984.50,221675
25. June 2020,5880.50,5888.00,225650
24. June 2020,5871.00,5882.50,226050
23. June 2020,5895.00,5909.00,228450
22. June 2020,5825.00,5846.00,233400
19. June 2020,5835.50,5855.00,236600
18. June 2020,5799.00,5825.00,243250
17. June 2020,5734.00,5763.00,244700
16. June 2020,5759.50,5787.50,248475
15. June 2020,5646.00,5673.50,247000
12. June 2020,5785.50,5809.00,234550
11. June 2020,5801.50,5825.00,231600
10. June 2020,5801.00,5822.00,233475
09. June 2020,5680.50,5704.00,236575
08. June 2020,5659.00,5678.50,237900
05. June 2020,5588.00,5607.00,243750
04. June 2020,5452.50,5478.50,248275
03. June 2020,5499.00,5522.00,252375
02. June 2020,5463.00,5487.50,254275
01. June 2020,5376.50,5404.00,255725
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
29. May 2020,5332.50,5357.00,261800
28. May 2020,5278.50,5306.50,264425
27. May 2020,5308.50,5342.50,265375
26. May 2020,5341.50,5375.00,270925
22. May 2020,5242.50,5272.00,271775
21. May 2020,5387.00,5413.50,272325
20. May 2020,5333.00,5360.50,273175
19. May 2020,5314.00,5343.50,274225
18. May 2020,5249.50,5277.50,276375
15. May 2020,5165.00,5194.50,278750
14. May 2020,5155.50,5186.50,282675
